Stat_Category,Team,Value,Source
RB Rec Yards,Raiders,28.79,CBS Yds
RB Rec Yards,Titans,28.79,CBS Yds
RB Rec Yards,Browns,28.14,CBS Yds
RB Rec Yards,Chiefs,27.71,CBS Yds
RB Rec Yards,Colts,26.0,CBS Yds
RB Rec Yards,Packers,25.86,CBS Yds
RB Rec Yards,Broncos,25.29,CBS Yds
RB Rec Yards,Chargers,25.21,CBS Yds
RB Rec Yards,Bears,25.07,CBS Yds
RB Rec Yards,Bills,24.71,CBS Yds
RB Rec Yards,Saints,22.71,CBS Yds
RB Rec Yards,Lions,21.36,CBS Yds
RB Rec Yards,Vikings,20.21,CBS Yds
WR Rec,Colts,13.57,CBS Yds
WR Rec,Steelers,13.0,CBS Yds
WR Rec,Jaguars,12.86,CBS Yds
WR Rec,Raiders,12.79,CBS Yds
WR Rec,Rams,12.73,CBS Yds
WR Rec,Ravens,12.36,CBS Yds
WR Rec,49ers,12.21,CBS Yds
WR Rec,Lions,12.14,CBS Yds
WR Rec,Giants,12.14,CBS Yds
WR Rec,Buccaneers,12.14,CBS Yds
WR Rec,Broncos,12.14,CBS Yds
WR Rec,Titans,12.07,CBS Yds
WR Rec,Cowboys,11.93,CBS Yds
WR Rec,Commanders,11.64,CBS Yds
WR Rec,Chiefs,11.57,CBS Yds
WR Rec,Falcons,11.5,CBS Yds
WR Rec,Packers,11.5,CBS Yds
WR Rec,Cardinals,11.21,CBS Yds
WR Rec,Eagles,10.71,CBS Yds
WR Rec,Seahawks,10.67,CBS Yds
WR Rec,Bears,10.36,CBS Yds
WR Rec,Panthers,10.21,CBS Yds
WR Rec,Jets,10.21,CBS Yds
WR Rec,Chargers,10.14,CBS Yds
WR Rec,Bills,10.07,CBS Yds
WR Rec,Patriots,9.79,CBS Yds
WR Rec,Saints,9.71,CBS Yds
WR Rec,Dolphins,9.71,CBS Yds
WR Rec,Texans,9.5,CBS Yds
WR Rec,Vikings,9.14,CBS Yds
WR Rec,Bengals,9.07,CBS Yds
WR Rec,Browns,8.71,CBS Yds
WR Rec Yards,Lions,172.0,CBS Yds
WR Rec Yards,Colts,171.93,CBS Yds
WR Rec Yards,Cowboys,168.5,CBS Yds
WR Rec Yards,Titans,165.93,CBS Yds
WR Rec Yards,Giants,163.71,CBS Yds
WR Rec Yards,Steelers,160.29,CBS Yds
WR Rec Yards,Commanders,159.29,CBS Yds
WR Rec Yards,Rams,159.2,CBS Yds
WR Rec Yards,Ravens,157.0,CBS Yds
WR Rec Yards,Raiders,152.07,CBS Yds
WR Rec Yards,Bears,150.57,CBS Yds
WR Rec Yards,Falcons,150.43,CBS Yds
WR Rec Yards,Buccaneers,150.43,CBS Yds
WR Rec Yards,49ers,147.21,CBS Yds
WR Rec Yards,Cardinals,143.79,CBS Yds
WR Rec Yards,Jaguars,141.57,CBS Yds
WR Rec Yards,Packers,139.29,CBS Yds
WR Rec Yards,Eagles,138.5,CBS Yds
WR Rec Yards,Chiefs,136.5,CBS Yds
WR Rec Yards,Broncos,134.79,CBS Yds
WR Rec Yards,Panthers,133.71,CBS Yds
WR Rec Yards,Jets,132.57,CBS Yds
WR Rec Yards,Bills,125.86,CBS Yds
WR Rec Yards,Vikings,125.86,CBS Yds
WR Rec Yards,Texans,123.57,CBS Yds
WR Rec Yards,Patriots,122.29,CBS Yds
WR Rec Yards,Saints,121.5,CBS Yds
WR Rec Yards,Chargers,120.5,CBS Yds
WR Rec Yards,Seahawks,120.47,CBS Yds
WR Rec Yards,Bengals,118.29,CBS Yds
WR Rec Yards,Browns,112.29,CBS Yds
WR Rec Yards,Dolphins,111.36,CBS Yds
TE Rec,Bengals,7.07,CBS Yds
TE Rec,Seahawks,6.53,CBS Yds
TE Rec,Steelers,6.43,CBS Yds
TE Rec,Dolphins,6.43,CBS Yds
TE Rec,Jaguars,6.29,CBS Yds
TE Rec,Patriots,6.14,CBS Yds
TE Rec,Colts,6.14,CBS Yds
TE Rec,Bears,6.14,CBS Yds
TE Rec,Cardinals,6.07,CBS Yds
TE Rec,Buccaneers,5.93,CBS Yds
TE Rec,Cowboys,5.79,CBS Yds
TE Rec,49ers,5.71,CBS Yds
TE Rec,Broncos,5.57,CBS Yds
TE Rec,Packers,5.57,CBS Yds
TE Rec,Titans,5.5,CBS Yds
TE Rec,Panthers,5.36,CBS Yds
TE Rec,Commanders,5.21,CBS Yds
TE Rec,Vikings,5.21,CBS Yds
TE Rec,Rams,5.2,CBS Yds
TE Rec,Saints,5.07,CBS Yds
TE Rec,Ravens,4.93,CBS Yds
TE Rec,Texans,4.86,CBS Yds
TE Rec,Lions,4.79,CBS Yds
TE Rec,Browns,4.79,CBS Yds
TE Rec,Jets,4.79,CBS Yds
TE Rec,Giants,4.71,CBS Yds
TE Rec,Chiefs,4.64,CBS Yds
TE Rec,Chargers,4.36,CBS Yds
TE Rec,Eagles,4.07,CBS Yds
TE Rec,Raiders,3.86,CBS Yds
TE Rec,Falcons,3.36,CBS Yds
TE Rec,Bills,2.71,CBS Yds
TE Rec Yards,Bengals,91.14,CBS Yds
TE Rec Yards,Seahawks,69.33,CBS Yds
TE Rec Yards,Dolphins,68.93,CBS Yds
TE Rec Yards,Steelers,68.21,CBS Yds
TE Rec Yards,Colts,66.29,CBS Yds
TE Rec Yards,Commanders,64.64,CBS Yds
TE Rec Yards,Cardinals,63.79,CBS Yds
TE Rec Yards,Broncos,63.14,CBS Yds
TE Rec Yards,Patriots,62.07,CBS Yds
TE Rec Yards,Panthers,61.93,CBS Yds
TE Rec Yards,Jaguars,61.36,CBS Yds
TE Rec Yards,Buccaneers,58.14,CBS Yds
TE Rec Yards,Cowboys,55.5,CBS Yds
TE Rec Yards,Bears,55.43,CBS Yds
TE Rec Yards,49ers,54.71,CBS Yds
TE Rec Yards,Titans,54.5,CBS Yds
TE Rec Yards,Lions,54.14,CBS Yds
TE Rec Yards,Browns,51.43,CBS Yds
TE Rec Yards,Vikings,50.86,CBS Yds
TE Rec Yards,Saints,49.86,CBS Yds
TE Rec Yards,Chiefs,47.43,CBS Yds
TE Rec Yards,Ravens,47.21,CBS Yds
TE Rec Yards,Jets,46.57,CBS Yds
TE Rec Yards,Giants,46.43,CBS Yds
TE Rec Yards,Chargers,45.29,CBS Yds
TE Rec Yards,Texans,45.21,CBS Yds
TE Rec Yards,Rams,43.4,CBS Yds
TE Rec Yards,Packers,43.14,CBS Yds
TE Rec Yards,Raiders,40.07,CBS Yds
TE Rec Yards,Falcons,35.57,CBS Yds
TE Rec Yards,Bills,32.79,CBS Yds
TE Rec Yards,Eagles,32.57,CBS Yds
