Stat_Category,Team,Value,Source
RB Rec Yards,Seahawks,156.0,Last5 Yds
RB Rec Yards,Falcons,153.0,Last5 Yds
RB Rec Yards,Giants,148.0,Last5 Yds
RB Rec Yards,Panthers,145.0,Last5 Yds
RB Rec Yards,Commanders,140.0,Last5 Yds
RB Rec Yards,Bills,132.0,Last5 Yds
RB Rec Yards,Dolphins,127.0,Last5 Yds
RB Rec Yards,Packers,124.0,Last5 Yds
RB Rec Yards,Jaguars,103.0,Last5 Yds
RB Rec Yards,Lions,102.0,Last5 Yds
RB Rec Yards,Patriots,92.0,Last5 Yds
RB Rec Yards,Vikings,87.0,Last5 Yds
RB Rec Yards,Colts,87.0,Last5 Yds
RB Rec Yards,Chiefs,85.0,Last5 Yds
RB Rec Yards,Saints,84.0,Last5 Yds
RB Rec Yards,Bears,64.0,Last5 Yds
RB Rec Yards,Broncos,46.0,Last5 Yds
RB Rec Yards,Chargers,41.0,Last5 Yds
WR Rec,Falcons,77.0,Last5 Yds
WR Rec,Lions,72.0,Last5 Yds
WR Rec,Jaguars,68.0,Last5 Yds
WR Rec,Rams,66.0,Last5 Yds
WR Rec,Cowboys,61.0,Last5 Yds
WR Rec,Chiefs,61.0,Last5 Yds
WR Rec,Raiders,58.0,Last5 Yds
WR Rec,Titans,57.0,Last5 Yds
WR Rec,Packers,57.0,Last5 Yds
WR Rec,Colts,55.0,Last5 Yds
WR Rec,Buccaneers,55.0,Last5 Yds
WR Rec,Broncos,53.0,Last5 Yds
WR Rec,Jets,51.0,Last5 Yds
WR Rec,Bears,49.0,Last5 Yds
WR Rec,Ravens,48.0,Last5 Yds
WR Rec,Panthers,47.0,Last5 Yds
WR Rec,Bills,47.0,Last5 Yds
WR Rec,Vikings,46.0,Last5 Yds
WR Rec,49ers,45.0,Last5 Yds
WR Rec,Texans,45.0,Last5 Yds
WR Rec,Giants,43.0,Last5 Yds
WR Rec,Cardinals,43.0,Last5 Yds
WR Rec,Eagles,41.0,Last5 Yds
WR Rec,Chargers,41.0,Last5 Yds
WR Rec,Seahawks,40.0,Last5 Yds
WR Rec,Steelers,39.0,Last5 Yds
WR Rec,Dolphins,38.0,Last5 Yds
WR Rec,Commanders,38.0,Last5 Yds
WR Rec,Browns,36.0,Last5 Yds
WR Rec,Saints,33.0,Last5 Yds
WR Rec,Patriots,32.0,Last5 Yds
WR Rec,Bengals,30.0,Last5 Yds
WR Rec Yards,Lions,1075.0,Last5 Yds
WR Rec Yards,Falcons,1013.0,Last5 Yds
WR Rec Yards,Chiefs,892.0,Last5 Yds
WR Rec Yards,Colts,857.0,Last5 Yds
WR Rec Yards,Titans,856.0,Last5 Yds
WR Rec Yards,Rams,842.0,Last5 Yds
WR Rec Yards,Cowboys,824.0,Last5 Yds
WR Rec Yards,Packers,757.0,Last5 Yds
WR Rec Yards,Ravens,703.0,Last5 Yds
WR Rec Yards,Raiders,701.0,Last5 Yds
WR Rec Yards,Buccaneers,666.0,Last5 Yds
WR Rec Yards,Broncos,650.0,Last5 Yds
WR Rec Yards,Jaguars,646.0,Last5 Yds
WR Rec Yards,Giants,641.0,Last5 Yds
WR Rec Yards,Cardinals,635.0,Last5 Yds
WR Rec Yards,Panthers,623.0,Last5 Yds
