Name,Pos,half_ppr,full_ppr
Fernando Mendoza,QB,100,100
Ty Simpson,QB,49,49
Trinidad Chambliss,QB,12,13
Garrett Nussmeier,QB,9,10
Drew Allar,QB,3,3
Carson Beck,QB,-12,-12
Behren Morton,QB,-17,-16
Cade Klubnik,QB,-17,-16
Cole Payton,QB,-17,-16
Diego Pavia,QB,-17,-16
Haynes King,QB,-17,-16
Jalon Daniels,QB,-17,-16
Luke Altmyer,QB,-17,-16
Sawyer Robertson,QB,-17,-16
Taylen Green,QB,-17,-16
Jeremiyah Love,RB,81,87
Jadarian Price,RB,46,50
Jonah Coleman,RB,41,45
Emmett Johnson,RB,30,32
Nicholas Singleton,RB,29,31
Jamarion Miller,RB,24,26
Kaytron Allen,RB,25,26
Demond Claiborne,RB,19,20
Mike Washington Jr.,RB,16,17
Jamal Haynes,RB,14,16
Kaelon Black,RB,13,15
Jaydn Ott,RB,13,14
J'Mari Taylor,RB,12,13
Roman Hemby,RB,12,13
Seth McGowan,RB,12,13
Le'Veon Moss,RB,11,12
Robert Henry Jr.,RB,10,11
Desmond Reid,RB,9,10
Adam Randall,RB,7,8
CJ Donaldson,RB,8,8
Chip Trayanum,RB,7,8
Kejon Owens,RB,8,8
Barry Kpeenu,RB,6,7
Kentrel Bullock,RB,7,7
Rahsul Faison,RB,5,6
Jordyn Tyson,WR,57,67
Makai Lemon,WR,52,62
Carnell Tate,WR,44,52
Denzel Boston,WR,44,52
KC Concepcion,WR,42,50
Chris Bell,WR,36,43
Germie Bernard,WR,33,39
Zachariah Branch,WR,33,38
Elijah Sarratt,WR,31,36
Chris Brazzell II,WR,30,34
Ja'Kobi Lane,WR,28,33
Antonio Williams,WR,21,25
Brenen Thompson,WR,16,19
Josh Cameron,WR,15,18
Bryce Lance,WR,14,16
CJ Daniels,WR,12,14
Barion Brown,WR,11,13
Malachi Fields,WR,12,13
Omar Cooper Jr.,WR,11,13
Harrison Wallace III,WR,11,12
Aaron Anderson,WR,9,11
Reggie Virgil,WR,10,11
Deion Burks,WR,8,10
Romello Brinson,WR,7,8
Jeff Caldwell,WR,6,7
Kaden Wetjen,WR,6,7
Caleb Douglas,WR,6,6
Caullin Lacy,WR,6,6
Devin Voisin,WR,6,6
Kevin Coleman Jr.,WR,6,6
Lewis Bond,WR,5,6
Chris Hilton Jr.,WR,5,5
Jordan Hudson,WR,5,5
Ted Hurst,WR,5,5
Cyrus Allen,WR,3,3
Eric Rivers,WR,3,3
Eli Heidenreich,WR,1,1
J. Michael Sturdivant,WR,0,0
Tyren Montgomery,WR,0,0
Noah Thomas,WR,0,-1
Skyler Bell,WR,-1,-1
Eric McAlister,WR,-2,-3
Max Tomczak,WR,-2,-3
Kenyon Sadiq,TE,22,26
Eli Stowers,TE,12,14
Max Klare,TE,11,12
Jack Endries,TE,7,8
Marlin Klein,TE,5,5
Oscar Delp,TE,3,4
Joe Royer,TE,2,2
Michael Trigg,TE,3,2
John Michael Gyllenborg,TE,0,0
Josh Cuevas,TE,1,0
Tanner Koziol,TE,0,0
Lake McRee,TE,0,-1
Sam Roush,TE,-1,-2
DJ Rogers,TE,-2,-3
Justin Joly,TE,-2,-4
Nate Boerkircher,TE,-2,-4
