Name,Pos,half_ppr,full_ppr
Lamar Jackson,QB,66,68
Josh Allen,QB,61,63
Jalen Hurts,QB,57,59
Jayden Daniels,QB,46,48
Justin Herbert,QB,25,28
Baker Mayfield,QB,15,18
Dak Prescott,QB,14,18
Patrick Mahomes,QB,14,18
Jordan Love,QB,13,16
Bo Nix,QB,12,15
Daniel Jones,QB,12,15
Kyler Murray,QB,11,14
Caleb Williams,QB,8,12
Drake Maye,QB,8,12
Trevor Lawrence,QB,7,10
Jared Goff,QB,6,10
Justin Fields,QB,5,9
Brock Purdy,QB,5,9
C.J. Stroud,QB,2,6
Saquon Barkley,RB,100,100
Bijan Robinson,RB,93,100
Christian McCaffrey,RB,88,99
Jahmyr Gibbs,RB,86,92
Derrick Henry,RB,84,78
Jonathan Taylor,RB,66,66
De'Von Achane,RB,64,78
James Cook,RB,62,63
Josh Jacobs,RB,62,63
Kyren Williams,RB,59,58
Bucky Irving,RB,57,63
Chase Brown,RB,55,60
Ashton Jeanty,RB,51,56
James Conner,RB,48,52
Breece Hall,RB,46,51
Chuba Hubbard,RB,45,47
Omarion Hampton,RB,45,47
Alvin Kamara,RB,41,53
Kenneth Walker III,RB,40,47
Travis Etienne,RB,39,40
Jordan Mason,RB,35,33
Javonte Williams,RB,30,32
Tony Pollard,RB,28,32
David Montgomery,RB,28,31
D'Andre Swift,RB,26,31
Jaylen Warren,RB,26,31
Jacory Croskey-Merritt,RB,26,26
Zach Charbonnet,RB,26,28
Quinshon Judkins,RB,24,25
J.K. Dobbins,RB,20,22
Rhamondre Stevenson,RB,18,19
Bhayshul Tuten,RB,18,18
RJ Harvey,RB,15,18
TreVeyon Henderson,RB,13,16
Isiah Pacheco,RB,13,15
Cameron Skattebo,RB,12,15
Joe Mixon,RB,11,14
Aaron Jones,RB,11,15
Trey Benson,RB,9,11
Tyrone Tracy Jr.,RB,9,12
Braelon Allen,RB,7,7
Nick Chubb,RB,6,6
Tyjae Spears,RB,5,10
Kareem Hunt,RB,5,7
Rachaad White,RB,3,6
Blake Corum,RB,2,5
Puka Nacua,WR,87,99
Ja'Marr Chase,WR,86,97
CeeDee Lamb,WR,85,98
Malik Nabers,WR,85,98
Justin Jefferson,WR,77,85
Nico Collins,WR,68,75
Amon-Ra St. Brown,WR,66,76
Drake London,WR,62,70
A.J. Brown,WR,57,62
Brian Thomas Jr.,WR,56,60
Ladd McConkey,WR,53,60
Jaxon Smith-Njigba,WR,50,59
Mike Evans,WR,48,51
Davante Adams,WR,40,44
Tetairoa McMillan,WR,39,43
Marvin Harrison Jr.,WR,38,40
Terry McLaurin,WR,37,39
Zay Flowers,WR,37,41
Jameson Williams,WR,37,35
Tee Higgins,WR,36,39
DeVonta Smith,WR,35,40
Courtland Sutton,WR,34,35
Rome Odunze,WR,34,35
Tyreek Hill,WR,33,35
Rashee Rice,WR,33,37
George Pickens,WR,32,34
D.K. Metcalf,WR,32,33
D.J. Moore,WR,31,34
Garrett Wilson,WR,30,36
Ricky Pearsall,WR,30,33
Deebo Samuel,WR,30,32
Emeka Egbuka,WR,29,32
Jaylen Waddle,WR,29,32
Keenan Allen,WR,28,33
Calvin Ridley,WR,28,30
Travis Hunter,WR,28,30
Chris Olave,WR,28,31
Jakobi Meyers,WR,28,31
Xavier Worthy,WR,27,30
Jerry Jeudy,WR,26,29
Jauan Jennings,WR,26,28
Keon Coleman,WR,25,24
Jordan Addison,WR,24,23
Khalil Shakir,WR,21,25
Quentin Johnston,WR,21,21
Stefon Diggs,WR,20,23
Michael Pittman Jr.,WR,19,22
Darnell Mooney,WR,17,18
Rashid Shaheed,WR,16,18
Matthew Golden,WR,15,13
Chris Godwin,WR,15,16
Brandon Aiyuk,WR,14,14
Wan'Dale Robinson,WR,13,20
Troy Franklin,WR,13,13
Marquise Brown,WR,11,12
Christian Kirk,WR,10,10
Josh Downs,WR,10,12
Cedric Tillman,WR,10,10
Cooper Kupp,WR,9,9
Joshua Palmer,WR,8,7
Jayden Higgins,WR,7,6
Elic Ayomanor,WR,7,6
Romeo Doubs,WR,6,5
Dontayvion Wicks,WR,4,2
Rashod Bateman,WR,4,#N/A
Xavier Legette,WR,4,1
Marvin Mims Jr.,WR,3,2
Jalen Coker,WR,2,#N/A
Brock Bowers,TE,56,64
Trey McBride,TE,51,60
Tucker Kraft,TE,38,40
Tyler Warren,TE,36,40
George Kittle,TE,34,35
Sam LaPorta,TE,31,33
Travis Kelce,TE,26,30
T.J. Hockenson,TE,26,29
Mark Andrews,TE,20,18
Juwan Johnson,TE,19,19
David Njoku,TE,19,20
Harold Fannin Jr.,TE,18,18
Jake Ferguson,TE,18,20
Kyle Pitts,TE,17,16
Zach Ertz,TE,17,17
Isaiah Likely,TE,15,12
Dallas Goedert,TE,15,14
Dalton Kincaid,TE,14,14
Hunter Henry,TE,11,11
Evan Engram,TE,11,13
Colston Loveland,TE,11,9
Jonnu Smith,TE,11,10
Brenton Strange,TE,10,10
Cade Otton,TE,9,8
Pat Freiermuth,TE,7,5
Michael Mayer,TE,6,4
Chigoziem Okonkwo,TE,5,4
Dalton Schultz,TE,4,2
Ja'Tavion Sanders,TE,3,#N/A
Theo Johnson,TE,1,#N/A
Michael Penix Jr.,TE,#N/A,4
Bryce Young,TE,#N/A,3
Najee Harris,TE,#N/A,2
Dylan Sampson,TE,#N/A,2
Jeremy McNichols,TE,#N/A,2
