Name,Pos,half_ppr,full_ppr
Josh Allen,QB,31,34
Patrick Mahomes,QB,29,32
Dak Prescott,QB,27,30
Jalen Hurts,QB,27,30
Lamar Jackson,QB,27,30
Justin Herbert,QB,24,27
Matthew Stafford,QB,23,26
Joe Burrow,QB,16,20
Jared Goff,QB,10,14
Caleb Williams,QB,8,12
Sam Darnold,QB,8,12
Jordan Love,QB,7,11
Baker Mayfield,QB,6,10
C.J. Stroud,QB,6,10
Drake Maye,QB,7,10
Trevor Lawrence,QB,6,10
Daniel Jones,QB,5,8
Jacoby Brissett,QB,4,8
Jayden Daniels,QB,3,7
Bo Nix,QB,2,6
Jaxson Dart,QB,2,6
Tua Tagovailoa,QB,2,6
Aaron Rodgers,QB,1,5
Marcus Mariota,QB,0,4
Brock Purdy,QB,-1,2
Cameron Ward,QB,-10,-5
Tyler Shough,QB,-10,-5
Geno Smith,QB,-11,-7
Tyrod Taylor,QB,-11,-7
Bryce Young,QB,-14,-9
Kirk Cousins,QB,-13,-9
J.J. McCarthy,QB,-25,-20
Dillon Gabriel,QB,-31,-26
Kyler Murray,QB,-35,-30
Max Brosmer,QB,-94,-86
Shedeur Sanders,QB,-94,-86
Jonathan Taylor,RB,100,100
Jahmyr Gibbs,RB,80,88
De'Von Achane,RB,72,86
Bijan Robinson,RB,68,75
Christian McCaffrey,RB,62,72
James Cook,RB,58,60
Josh Jacobs,RB,55,57
Derrick Henry,RB,58,55
Javonte Williams,RB,50,54
Saquon Barkley,RB,49,51
Breece Hall,RB,41,47
Chase Brown,RB,37,47
Bucky Irving,RB,38,42
Rico Dowdle,RB,31,35
Travis Etienne,RB,33,35
Kyren Williams,RB,30,32
Ashton Jeanty,RB,26,31
RJ Harvey,RB,24,31
Jaylen Warren,RB,23,28
Quinshon Judkins,RB,29,27
Kenneth Walker III,RB,20,24
Woody Marks,RB,21,24
TreVeyon Henderson,RB,20,23
Aaron Jones,RB,18,22
D'Andre Swift,RB,18,22
David Montgomery,RB,20,22
Kyle Monangai,RB,17,20
Omarion Hampton,RB,18,20
Trey Benson,RB,18,20
Zach Charbonnet,RB,18,20
Chris Rodriguez,RB,18,18
Bhayshul Tuten,RB,16,17
Blake Corum,RB,16,17
Isiah Pacheco,RB,15,17
Tyrone Tracy Jr.,RB,14,17
Kareem Hunt,RB,14,16
Tony Pollard,RB,12,16
Tyjae Spears,RB,12,16
