Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,LAR,"Puka Nacua",WR,9.0,-3.3%,8,83%,19.3,18.8,22.2,25.1,100
2,SEA,"Jaxon Smith-Njigba",WR,9.0,-1.2%,8,79%,16.7,20,19.6,24.5,84.4
3,CIN,"Ja'Marr Chase",WR,8.0,9.3%,10,48%,17.7,18.9,20.1,27.3,75.9
4,DET,"Amon-Ra St. Brown",WR,9.0,10.7%,8,35%,15.2,18.8,17.9,24.3,75.1
5,ATL,"Bijan Robinson",RB,9.0,-6.4%,5,39%,15.9,18.5,18.7,22.4,73.9
6,MIN,"Justin Jefferson",WR,9.0,11.7%,6,53%,15.1,16.1,17.6,21.5,68.3
7,DET,"Jahmyr Gibbs",RB,9.0,-0.3%,8,70%,15.1,17.4,18.4,20.6,68.2
8,SF,"Christian McCaffrey",RB,8.0,-7.3%,14,52%,18.5,21.9,19.7,23.8,67.7
9,DAL,"CeeDee Lamb",WR,8.0,-4.7%,10,66%,16.4,18.2,18.6,26.6,67.2
10,IND,"Jonathan Taylor",RB,8.0,-6.9%,11,83%,17,19,19.3,24.1,64.1
11,PHI,"Saquon Barkley",RB,9.0,0.8%,9,43%,14.9,15.2,17.1,21.2,63.5
12,LAR,"Davante Adams",WR,9.0,-3.3%,8,82%,14.3,14.8,15.5,20.9,56.1
13,BUF,"James Cook",RB,9.0,-0.3%,7,73%,13,15.1,16.4,18.9,52.3
14,MIA,"De'Von Achane",RB,8.0,6.5%,12,90%,14.9,17.2,17.9,21.7,51.7
15,BAL,"Lamar Jackson",QB,9.0,13.9%,7,45%,18.4,21.1,21.9,24.7,50.6
16,BAL,"Derrick Henry",RB,9.0,1.8%,7,37%,12.8,14,15.4,19.7,50.5
17,GB,"Josh Jacobs",RB,9.0,4.4%,5,69%,13.4,15.3,15.6,19.2,50.4
18,TB,"Bucky Irving",RB,9.0,-5.4%,9,83%,12.6,14.1,15.5,17.8,45.8
19,ATL,"Drake London",WR,9.0,-1.3%,5,76%,12.7,15.7,14.3,18.6,44.7
20,LVR,"Brock Bowers",TE,9.0,-15.4%,8,75%,13.2,14.1,15.3,18.4,44.2
21,HOU,"Nico Collins",WR,9.0,-1.8%,6,92%,11.2,14.6,15.4,17.1,43.3
22,ARI,"Trey McBride",TE,9.0,7.8%,8,53%,13,13.4,15.3,17.4,42.7
23,BUF,"Josh Allen",QB,9.0,5.2%,7,22%,18.4,21.5,21.2,23.3,42.6
24,TB,"Emeka Egbuka",WR,9.0,-3%,9,38%,12.3,13.7,14,18.5,42.3
25,LVR,"Ashton Jeanty",RB,9.0,0.3%,8,63%,12.3,14.6,14.6,17.5,41.9
26,PHI,"A.J. Brown",WR,9.0,9.7%,9,76%,12.1,13.7,13.8,18.6,41.3
27,KC,"Rashee Rice",WR,8.0,-4.3%,10,88%,13.9,16.5,15.4,20.8,40.8
28,PHI,"Jalen Hurts",QB,9.0,5.8%,9,43%,17.8,20.2,21.2,22.9,40
29,CAR,"Rico Dowdle",RB,8.0,-6%,14,48%,13.9,14.4,15.8,20.2,39.8
30,NYJ,"Breece Hall",RB,9.0,-6.4%,9,85%,12.1,13.5,14.1,17.3,38.8
31,CLE,"Quinshon Judkins",RB,9.0,8.2%,9,45%,11.8,11.4,14.2,16,36.1
32,LAR,"Kyren Williams",RB,9.0,-4.5%,8,85%,11.8,13.7,14.1,16.2,36
33,PHI,"DeVonta Smith",WR,9.0,9.7%,9,94%,11.6,13.3,13.2,17,35.1
34,NYJ,"Garrett Wilson",WR,9.0,0.8%,9,36%,10.4,13.8,13.7,16.4,33.8
35,IND,"Tyler Warren",TE,8.0,2.9%,11,60%,12.6,11.2,14.8,18.8,33
36,CIN,"Chase Brown",RB,8.0,4.5%,10,81%,13,12.4,14.9,17.9,31.9
37,DAL,"Javonte Williams",RB,8.0,-5.7%,10,73%,13,16.1,14.8,18.2,31.1
38,BAL,"Zay Flowers",WR,9.0,6.8%,7,85%,11,13.7,12.9,16.1,30.7
39,MIA,"Jaylen Waddle",WR,8.0,7.5%,12,93%,12.4,14.2,14.3,17.7,29.9
40,CIN,"Tee Higgins",WR,8.0,9.3%,10,88%,11.1,12.5,14.2,19.2,29.4
41,PIT,"D.K. Metcalf",WR,9.0,1.5%,5,69%,10.6,11.7,13.2,15.3,29.1
42,LAC,"Ladd McConkey",WR,8.0,3.4%,12,86%,12.1,13,13.9,18.2,29
43,DAL,"George Pickens",WR,8.0,-4.7%,10,47%,11.5,14.7,13.7,18.1,27
44,CHI,"Rome Odunze",WR,9.0,4.2%,5,79%,10.3,11.3,12.1,15.7,25.7
45,NO,"Chris Olave",WR,8.0,-9.9%,11,76%,10.8,13.4,13.9,17.4,25
46,IND,"Michael Pittman Jr.",WR,8.0,-11%,11,94%,11.7,13.1,13.2,18.3,25
47,SF,"George Kittle",TE,8.0,8.3%,14,53%,11,11.9,12.9,16.5,24.1
48,JAC,"Travis Etienne",RB,9.0,-1.5%,8,69%,9,11.3,12.5,15.3,24.1
49,KC,"Patrick Mahomes",QB,8.0,-8.2%,10,23%,18.7,21.3,21,26.3,24
50,CAR,"Tetairoa McMillan",WR,8.0,-1.8%,14,45%,11.6,12.2,13.5,16.9,23.8
51,DET,"Sam LaPorta",TE,9.0,2.4%,8,84%,9.5,11.1,11.5,14.7,23.7
52,CHI,"D'Andre Swift",RB,9.0,-5.6%,5,73%,10.1,11.7,11.8,14.8,23.2
53,MIN,"Jordan Addison",WR,9.0,11.7%,6,77%,9.9,11.2,11.7,15.7,23.2
54,ARI,"Marvin Harrison Jr.",WR,9.0,-4.3%,8,90%,9.4,12.7,12.5,14,22.9
