Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,IND,"Jonathan Taylor",RB,6.0,-6.1%,11,83%,17.9,18.8,20.3,23.5,100
2,SEA,"Jaxon Smith-Njigba",WR,6.0,-1.6%,8,79%,16.3,19.7,19.2,26.5,99.3
3,CIN,"Ja'Marr Chase",WR,6.0,1.4%,10,48%,16.7,17,18.6,25.1,94.6
4,LAR,"Puka Nacua",WR,6.0,-4.2%,8,83%,16.1,17.1,19.2,23.4,91.5
5,DAL,"CeeDee Lamb",WR,6.0,-5%,10,66%,15.4,14.8,18.6,23.8,89.3
6,DET,"Jahmyr Gibbs",RB,6.0,-9%,8,70%,15.4,18.7,18.8,23.3,88.1
7,DET,"Amon-Ra St. Brown",WR,6.0,7.5%,8,35%,15.3,11.4,18,24.5,87.1
8,MIA,"De'Von Achane",RB,6.0,6.4%,12,90%,15.5,19,18.7,23,86.4
9,ATL,"Bijan Robinson",RB,6.0,-6.6%,5,39%,14.6,17.7,16.8,22.5,75
10,SF,"Christian McCaffrey",RB,5.0,2.7%,14,52%,18.7,21,19.9,25.5,72.9
11,DAL,"George Pickens",WR,6.0,-5%,10,47%,14.1,15.8,16.8,21.3,71.9
12,LAR,"Davante Adams",WR,6.0,-4.2%,8,82%,14.1,14.4,15.3,21.3,64.3
13,KC,"Rashee Rice",WR,6.0,-3.3%,10,88%,13.3,15.1,15.7,20.9,63.5
14,BUF,"James Cook",RB,6.0,-2.4%,7,73%,13,14.8,16.4,18.9,60.4
15,HOU,"Nico Collins",WR,6.0,-1.7%,6,92%,13,15.6,15.1,20.5,60.1
16,MIA,"Jaylen Waddle",WR,6.0,3.1%,12,93%,13.3,12.7,14.8,20.7,59.3
17,GB,"Josh Jacobs",RB,6.0,0.3%,5,69%,13.5,12.9,15.3,19.1,57.5
18,BAL,"Derrick Henry",RB,6.0,9.1%,7,37%,11.9,13.7,15.5,19.1,55.5
19,DAL,"Javonte Williams",RB,6.0,-7.9%,10,73%,12.3,13.6,15,19.4,54.3
20,ARI,"Trey McBride",TE,6.0,6%,8,53%,13.5,16,15.9,19.1,53.4
21,PHI,"Saquon Barkley",RB,6.0,9.5%,9,43%,11.3,12.8,15.5,17.8,51.4
