Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,IND,"Jonathan Taylor",RB,6.0,-6.1%,11,83%,16.9,17.7,19.2,22.3,100
2,SEA,"Jaxon Smith-Njigba",WR,6.0,-1.6%,8,79%,13.7,16.4,16.1,22.2,90.6
3,CIN,"Ja'Marr Chase",WR,6.0,1.4%,10,48%,13.9,13.9,15.4,20.8,82.2
4,DET,"Jahmyr Gibbs",RB,6.0,-9%,8,70%,13.9,17,17,21.1,80.9
5,LAR,"Puka Nacua",WR,6.0,-4.2%,8,83%,13.2,13.9,15.7,19.2,78.8
6,DAL,"CeeDee Lamb",WR,6.0,-5%,10,66%,12.7,12.2,15.3,19.6,77.7
7,DET,"Amon-Ra St. Brown",WR,6.0,7.5%,8,35%,12.5,9.3,14.7,20,74.6
8,MIA,"De'Von Achane",RB,6.0,6.4%,12,90%,13.4,16.8,16.1,19.8,72.7
9,ATL,"Bijan Robinson",RB,6.0,-6.6%,5,39%,13.1,15.8,15.1,20.2,68.3
10,DAL,"George Pickens",WR,6.0,-5%,10,47%,11.8,13.4,14,17.8,64.4
11,SF,"Christian McCaffrey",RB,5.0,2.7%,14,52%,16.5,18.4,17.6,22.5,62.8
12,BUF,"James Cook",RB,6.0,-2.4%,7,73%,12,13.9,15.2,17.5,58.9
13,BAL,"Derrick Henry",RB,6.0,9.1%,7,37%,11.5,13.2,14.9,18.3,58.2
14,LAR,"Davante Adams",WR,6.0,-4.2%,8,82%,11.6,12.2,12.6,17.5,56.9
15,GB,"Josh Jacobs",RB,6.0,0.3%,5,69%,12.4,12,14.1,17.6,55.2
16,KC,"Rashee Rice",WR,6.0,-3.3%,10,88%,10.8,12.4,12.7,16.9,53.5
17,HOU,"Nico Collins",WR,6.0,-1.7%,6,92%,10.8,13,12.5,17,53
18,MIA,"Jaylen Waddle",WR,6.0,3.1%,12,93%,10.9,10.5,12.1,16.9,51.7
19,DAL,"Javonte Williams",RB,6.0,-7.9%,10,73%,11.2,12.4,13.7,17.7,50.3
20,PHI,"Saquon Barkley",RB,6.0,9.5%,9,43%,10.4,11.6,14.3,16.4,49.5
21,ARI,"Trey McBride",TE,6.0,6%,8,53%,10.6,12.8,12.5,15,44.8
22,LVR,"Brock Bowers",TE,6.0,-21.3%,8,75%,10.5,11,12.2,14.6,42.7
23,NYJ,"Breece Hall",RB,6.0,-7%,9,85%,10.7,11.7,13.1,16.1,41.7
