Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,RK,"Fernando Mendoza",QB,17.0,-,18,0%,247.9,,247.9,247.9,100
2,RK,"Jeremiyah Love",RB,17.0,-,18,0%,235.1,,235.1,235.1,87.3
3,RK,"Will Ferrin",K,17.0,-,18,0%,113.4,,113.4,113.4,70.6
4,RK,"Drew Stevens",K,17.0,-,18,0%,113.4,,113.4,113.4,70.6
5,RK,"Jordyn Tyson",WR,17.0,-,18,0%,203.3,,203.3,203.3,67.9
6,RK,"Makai Lemon",WR,17.0,-,18,0%,189.7,,189.7,189.7,62.2
7,RK,"Carnell Tate",WR,17.0,-,18,0%,166.3,,166.3,166.3,52.5
8,RK,"Denzel Boston",WR,17.0,-,18,0%,165.9,,165.9,165.9,52.3
9,RK,"KC Concepcion",WR,17.0,-,18,0%,160.5,,160.5,160.5,50.1
10,RK,"Jadarian Price",RB,17.0,-,18,0%,145.7,,145.7,145.7,50.1
11,RK,"Ty Simpson",QB,17.0,-,18,0%,162.4,,162.4,162.4,49.6
12,RK,"Jonah Coleman",RB,17.0,-,18,0%,135.3,,135.3,135.3,45.8
13,RK,"Chris Bell",WR,17.0,-,18,0%,144.7,,144.7,144.7,43.5
14,RK,"Germie Bernard",WR,17.0,-,18,0%,134.8,,134.8,134.8,39.4
15,RK,"Zachariah Branch",WR,17.0,-,18,0%,132.3,,132.3,132.3,38.4
16,RK,"Elijah Sarratt",WR,17.0,-,18,0%,128.7,,128.7,128.7,36.9
17,RK,"Chris Brazzell II",WR,17.0,-,18,0%,124.1,,124.1,124.1,34.9
18,RK,"Ja'Kobi Lane",WR,17.0,-,18,0%,120.2,,120.2,120.2,33.3
19,RK,"Emmett Johnson",RB,17.0,-,18,0%,104.2,,104.2,104.2,32.9
20,RK,"Nicholas Singleton",RB,17.0,-,18,0%,100.6,,100.6,100.6,31.4
21,RK,"Jamarion Miller",RB,17.0,-,18,0%,89.3,,89.3,89.3,26.7
22,RK,"Kenyon Sadiq",TE,17.0,-,18,0%,142.5,,142.5,142.5,26.4
23,RK,"Kaytron Allen",RB,17.0,-,18,0%,88.1,,88.1,88.1,26.2
24,RK,"Antonio Williams",WR,17.0,-,18,0%,101.5,,101.5,101.5,25.5
25,RK,"Demond Claiborne",RB,17.0,-,18,0%,73.8,,73.8,73.8,20.2
26,RK,"Brenen Thompson",WR,17.0,-,18,0%,86.7,,86.7,86.7,19.4
27,RK,"Josh Cameron",WR,17.0,-,18,0%,84.2,,84.2,84.2,18.3
28,RK,"Mike Washington Jr.",RB,17.0,-,18,0%,66.1,,66.1,66.1,17
29,RK,"Bryce Lance",WR,17.0,-,18,0%,79.6,,79.6,79.6,16.4
30,RK,"Jamal Haynes",RB,17.0,-,18,0%,63.9,,63.9,63.9,16.1
31,RK,"Kaelon Black",RB,17.0,-,18,0%,61.9,,61.9,61.9,15.3
32,RK,"CJ Daniels",WR,17.0,-,18,0%,75.5,,75.5,75.5,14.7
33,RK,"Jaydn Ott",RB,17.0,-,18,0%,59.5,,59.5,59.5,14.3
34,RK,"Eli Stowers",TE,17.0,-,18,0%,100.6,,100.6,100.6,14.1
35,RK,"Seth McGowan",RB,17.0,-,18,0%,58.3,,58.3,58.3,13.8
36,RK,"Roman Hemby",RB,17.0,-,18,0%,58.3,,58.3,58.3,13.8
37,RK,"Barion Brown",WR,17.0,-,18,0%,73.1,,73.1,73.1,13.7
38,RK,"Malachi Fields",WR,17.0,-,18,0%,72.9,,72.9,72.9,13.7
39,RK,"J'Mari Taylor",RB,17.0,-,18,0%,57.8,,57.8,57.8,13.6
40,RK,"Omar Cooper Jr.",WR,17.0,-,18,0%,71.9,,71.9,71.9,13.2
41,RK,"Trinidad Chambliss",QB,17.0,-,18,0%,100.3,,100.3,100.3,13
42,RK,"Harrison Wallace III",WR,17.0,-,18,0%,71.2,,71.2,71.2,12.9
43,RK,"Max Klare",TE,17.0,-,18,0%,95.9,,95.9,95.9,12.7
44,RK,"Le'Veon Moss",RB,17.0,-,18,0%,55.1,,55.1,55.1,12.4
