Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,SEA,"Jaxon Smith-Njigba",WR,2.0,2.6%,8,79%,10.6,15.5,12.5,17.3,100
2,SF,"Christian McCaffrey",RB,2.0,-4.1%,14,52%,11.7,18.3,13.8,16.1,98.9
3,CIN,"Ja'Marr Chase",WR,2.0,-5.9%,10,48%,11.4,16.4,12.7,16.8,98.9
4,DET,"Amon-Ra St. Brown",WR,2.0,-1.8%,8,35%,10.5,15.9,12.4,17.1,95.5
5,DET,"Jahmyr Gibbs",RB,2.0,-8.9%,8,70%,11.1,17.8,12.9,16.1,93.9
6,MIA,"De'Von Achane",RB,2.0,21.4%,12,90%,11.1,16.2,13,15,89.1
7,LAR,"Puka Nacua",WR,2.0,0.7%,8,83%,10.1,15.2,12,16.2,89.1
8,ATL,"Bijan Robinson",RB,2.0,-4.1%,5,39%,10.5,16.5,12.1,16.2,84.4
9,ARI,"Trey McBride",TE,2.0,22.7%,8,53%,10.6,15.7,12.5,15,75.2
10,DAL,"CeeDee Lamb",WR,2.0,-4.7%,10,66%,8.4,15.3,11.2,14.2,74.4
11,PHI,"A.J. Brown",WR,2.0,0.5%,9,76%,9.7,11.3,10.5,14.2,68.1
12,BUF,"James Cook",RB,2.0,-4.1%,7,73%,8.9,12.9,11.3,13.3,66.7
13,IND,"Jonathan Taylor",RB,2.0,-4.6%,11,83%,9.5,15.9,10.7,13.7,64.3
14,HOU,"Nico Collins",WR,2.0,-4.3%,6,92%,8.5,13.7,9.9,13.5,62.3
15,NO,"Chris Olave",WR,2.0,0.2%,11,76%,8,13.5,10.2,12,58.4
16,DAL,"George Pickens",WR,2.0,-4.7%,10,47%,8.3,14,9.9,12.3,57.6
17,ATL,"Drake London",WR,2.0,3.6%,5,76%,7.6,13.5,9.8,12.7,53.8
18,CIN,"Tee Higgins",WR,2.0,-5.9%,10,88%,7.8,10.8,9.7,11.4,50.1
19,PHI,"Saquon Barkley",RB,2.0,14.6%,9,43%,7.6,11.4,9.9,11.9,49.4
20,JAC,"Travis Etienne",RB,2.0,-8.1%,8,69%,8.6,11.7,9.6,11.8,49.1
21,SF,"George Kittle",TE,2.0,8.4%,14,53%,8,12.2,9.4,12.9,47.7
22,ARI,"Michael Wilson",WR,2.0,2.9%,8,58%,7.9,12.1,9.3,11.2,47.5
23,GB,"Josh Jacobs",RB,2.0,2.3%,5,69%,8,12.2,9.7,11.8,46.9
24,CIN,"Chase Brown",RB,2.0,7.2%,10,81%,7.6,11.1,9.5,11.4,45.7
25,BUF,"Josh Allen",QB,2.0,-15.8%,7,22%,11.6,18.8,13.3,15.7,44.6
26,TB,"Bucky Irving",RB,2.0,1.1%,9,83%,8.1,10.4,9.6,10.8,44.3
27,DET,"Jameson Williams",WR,2.0,-1.8%,8,68%,7.8,13,9.2,11.3,44.1
28,DAL,"Javonte Williams",RB,2.0,2.6%,10,73%,7,11.5,9.7,11.3,42.8
29,NE,"TreVeyon Henderson",RB,2.0,10.6%,14,37%,7.5,11.3,9,12.2,42.4
30,TB,"Mike Evans",WR,2.0,-6.8%,9,93%,7.5,11.5,8.5,11.1,42.3
31,CAR,"Tetairoa McMillan",WR,2.0,-8.1%,14,45%,7.6,11.4,8.6,10.9,41.4
32,BAL,"Derrick Henry",RB,2.0,-16.2%,7,37%,7.8,12.7,9,11.6,41.2
33,MIA,"Jaylen Waddle",WR,2.0,-5.9%,12,93%,6.9,11,8.6,10.7,38.8
