Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,LAR,"Puka Nacua",WR,9.0,-3.3%,8,83%,15.8,15.3,18.2,20.6,100
2,SEA,"Jaxon Smith-Njigba",WR,9.0,-1.2%,8,79%,13.9,16.7,16.3,20.4,87.7
3,ATL,"Bijan Robinson",RB,9.0,-6.4%,5,39%,14.4,16.4,16.9,20.3,78.7
4,CIN,"Ja'Marr Chase",WR,8.0,9.3%,10,48%,14.7,15.3,16.7,22.7,78.5
5,DET,"Amon-Ra St. Brown",WR,9.0,10.7%,8,35%,12.4,15.5,14.6,19.9,74.5
6,IND,"Jonathan Taylor",RB,8.0,-6.9%,11,83%,15.9,17.7,18.1,22.6,74.2
7,DET,"Jahmyr Gibbs",RB,9.0,-0.3%,8,70%,13.8,15.7,16.8,18.8,73.4
8,PHI,"Saquon Barkley",RB,9.0,0.8%,9,43%,13.7,13.9,15.8,19.6,70.2
9,MIN,"Justin Jefferson",WR,9.0,11.7%,6,53%,12.6,13.4,14.6,17.8,69.5
10,SF,"Christian McCaffrey",RB,8.0,-7.3%,14,52%,16.5,19.3,17.5,21.2,68.7
11,DAL,"CeeDee Lamb",WR,8.0,-4.7%,10,66%,13.5,15,15.3,21.9,67.6
12,BAL,"Derrick Henry",RB,9.0,1.8%,7,37%,12.4,13.6,14.9,19.1,62.1
13,BUF,"James Cook",RB,9.0,-0.3%,7,73%,12.1,14.2,15.3,17.6,59.3
14,BAL,"Lamar Jackson",QB,9.0,13.9%,7,45%,18.4,21.1,21.9,24.7,57.1
15,LAR,"Davante Adams",WR,9.0,-3.3%,8,82%,11.7,12.5,12.7,17.1,56.8
16,GB,"Josh Jacobs",RB,9.0,4.4%,5,69%,12.4,14.3,14.4,17.7,56.7
17,TB,"Bucky Irving",RB,9.0,-5.4%,9,83%,11.3,12.4,14,16.1,48.3
18,BUF,"Josh Allen",QB,9.0,5.2%,7,22%,18.4,21.5,21.2,23.3,47.5
19,MIA,"De'Von Achane",RB,8.0,6.5%,12,90%,12.7,14.9,15.3,18.5,46.7
20,ATL,"Drake London",WR,9.0,-1.3%,5,76%,10.4,13,11.7,15.2,45.7
21,HOU,"Nico Collins",WR,9.0,-1.8%,6,92%,9.3,12.1,12.7,14.1,44.9
22,CAR,"Rico Dowdle",RB,8.0,-6%,14,48%,12.8,13.4,14.6,18.7,44.8
23,LVR,"Brock Bowers",TE,9.0,-15.4%,8,75%,10.6,11.3,12.3,14.8,44.6
24,PHI,"Jalen Hurts",QB,9.0,5.8%,9,43%,17.8,20.2,21.2,22.9,44.4
25,PHI,"A.J. Brown",WR,9.0,9.7%,9,76%,10,11.5,11.4,15.4,43.7
26,LVR,"Ashton Jeanty",RB,9.0,0.3%,8,63%,11.1,13.2,13.2,15.8,43.4
27,CLE,"Quinshon Judkins",RB,9.0,8.2%,9,45%,11.1,10.7,13.4,15.1,42.9
28,TB,"Emeka Egbuka",WR,9.0,-3%,9,38%,10.1,11.7,11.5,15.2,42.8
29,ARI,"Trey McBride",TE,9.0,7.8%,8,53%,10.3,10.6,12.1,13.8,40.8
30,LAR,"Kyren Williams",RB,9.0,-4.5%,8,85%,11,12.7,13.1,15.1,40.6
