Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,ATL,"Bijan Robinson",RB,11.0,-8.7%,5,39%,14.9,17.6,18.2,20,100
2,SEA,"Jaxon Smith-Njigba",WR,10.0,0.9%,8,49%,14,16.9,16.5,20.6,86
3,CIN,"Ja'Marr Chase",WR,10.0,6%,10,49%,14.3,14.8,16.3,20.7,85.7
4,IND,"Jonathan Taylor",RB,10.0,-4.5%,11,86%,15.5,17.4,17.6,22,85.4
5,LAR,"Puka Nacua",WR,10.0,-1.6%,8,74%,14.3,15.8,16.4,20,84.3
6,MIN,"Justin Jefferson",WR,11.0,10.4%,6,57%,12.8,13.1,14.9,18.2,84
7,DET,"Jahmyr Gibbs",RB,10.0,-3.6%,8,68%,14.3,16.5,17.4,21.2,80
8,DAL,"CeeDee Lamb",WR,10.0,-5.9%,10,56%,13.1,14.8,14.9,20.1,74.4
9,SF,"Christian McCaffrey",RB,10.0,-6.8%,14,94%,11.9,19.2,17,19.9,69.9
10,DET,"Amon-Ra St. Brown",WR,10.0,8.2%,8,31%,13.1,15.5,14.1,19.5,68.2
11,BUF,"James Cook",RB,11.0,-4%,7,73%,11.3,14.2,15.1,16.3,64.4
12,GB,"Josh Jacobs",RB,11.0,1.8%,5,85%,12.3,15.5,14.3,17.6,64.2
13,BAL,"Derrick Henry",RB,11.0,-0.7%,7,41%,11.8,13.9,14.2,17,61.1
14,BAL,"Lamar Jackson",QB,11.0,8.4%,7,31%,18.6,21,21.6,23.5,55.7
15,MIA,"De'Von Achane",RB,10.0,5.1%,12,93%,10.8,15.9,15.4,16.9,51.3
16,BUF,"Josh Allen",QB,11.0,-4.5%,7,26%,18.7,22,21.3,22.8,50.9
17,KC,"Rashee Rice",WR,10.0,0.1%,10,80%,11.3,11.6,12.6,17,50.3
18,PHI,"Jalen Hurts",QB,10.0,9.1%,9,59%,20.7,20.1,22.7,25.9,47.5
