Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,SEA,"Jaxon Smith-Njigba",WR,4.0,4.2%,8,79%,16.2,18.7,19.1,26.4,100
2,SF,"Christian McCaffrey",RB,4.0,6.1%,14,52%,17,20.7,20,24.4,97.6
3,CIN,"Ja'Marr Chase",WR,4.0,0.4%,10,48%,16.7,17.3,18.6,25.1,95.3
4,LAR,"Puka Nacua",WR,4.0,8.4%,8,83%,15.7,17.6,18.7,22.8,90
5,DET,"Amon-Ra St. Brown",WR,4.0,-1%,8,35%,15.2,16.4,17.9,24.7,88
6,DET,"Jahmyr Gibbs",RB,4.0,-15.3%,8,70%,15.4,20.3,18.8,23.1,85.7
7,MIA,"De'Von Achane",RB,4.0,10.9%,12,90%,15.4,19.7,18.6,22.9,83.7
8,KC,"Rashee Rice",WR,4.0,-10.8%,10,88%,14.5,14.7,16.5,22.4,76.1
9,ATL,"Bijan Robinson",RB,4.0,-2.7%,5,39%,14.8,15.6,17,22.8,75.5
10,DAL,"CeeDee Lamb",WR,4.0,-11%,10,66%,12.7,16.6,16.9,21.5,73.6
11,DAL,"George Pickens",WR,4.0,-11%,10,47%,13.6,15.9,16.2,22.4,73.4
12,LAR,"Davante Adams",WR,4.0,8.4%,8,82%,14.5,14,15.8,22,71.1
13,HOU,"Nico Collins",WR,4.0,-4%,6,92%,13.2,13.9,15.4,20.9,63.6
14,ARI,"Trey McBride",TE,4.0,11.8%,8,53%,14,16.4,16.5,19.8,60.3
15,BUF,"James Cook",RB,4.0,-10.2%,7,73%,12.8,14.4,16.2,19.1,60
16,PHI,"A.J. Brown",WR,4.0,4.1%,9,76%,13.5,12.6,14.7,19.8,59.9
17,IND,"Jonathan Taylor",RB,4.0,-4.8%,11,83%,13.6,16.3,15.4,18.5,56.3
18,MIA,"Jaylen Waddle",WR,4.0,2.6%,12,93%,11.5,11.4,14.4,18.3,51.8
19,GB,"Josh Jacobs",RB,4.0,0.4%,5,69%,12.7,14.6,14.9,18.2,51.6
20,PHI,"Saquon Barkley",RB,4.0,13.4%,9,43%,11.7,12.7,15.2,18.2,51.2
21,TB,"Bucky Irving",RB,4.0,1.3%,9,83%,12.8,11.3,15.2,17.2,50.3
22,DAL,"Javonte Williams",RB,4.0,-2.1%,10,73%,11.5,13.7,14.9,18,49.4
