Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,SEA,"Jaxon Smith-Njigba",WR,10.0,1.7%,8,79%,13.9,16.7,16.3,20.4,100
2,LAR,"Puka Nacua",WR,10.0,-2.4%,8,83%,14.1,15.5,16.2,19.8,98.1
3,ATL,"Bijan Robinson",RB,10.0,-8.3%,5,39%,14.3,16.8,16.8,20.2,89.5
4,DET,"Jahmyr Gibbs",RB,10.0,-0.2%,8,70%,13.9,16.2,17,19.4,87.7
5,CIN,"Ja'Marr Chase",WR,9.0,8.3%,10,48%,14.5,14.8,16.5,21.6,86.7
6,DET,"Amon-Ra St. Brown",WR,10.0,9.2%,8,35%,13.4,15.2,14.4,19.9,86.5
7,IND,"Jonathan Taylor",RB,9.0,-5.5%,11,83%,16,19,18.2,21.8,86.1
8,MIN,"Justin Jefferson",WR,10.0,11.5%,6,53%,12.6,13.4,14.7,17.9,81.2
9,SF,"Christian McCaffrey",RB,9.0,-0.7%,14,52%,16.3,18.9,17.3,20.2,76.6
10,DAL,"CeeDee Lamb",WR,9.0,-3.6%,10,66%,13.2,14.3,15,20.3,73.6
11,BUF,"James Cook",RB,10.0,1.4%,7,73%,11.9,14.4,15,17.3,65.8
12,PHI,"Saquon Barkley",RB,9.0,2.9%,9,43%,13.9,14.1,16,19.2,63.7
13,GB,"Josh Jacobs",RB,10.0,4.7%,5,69%,12.3,14.4,14.3,17.6,63.6
14,BAL,"Derrick Henry",RB,10.0,3.7%,7,37%,11.8,13.5,14.2,17.5,61.6
15,LAR,"Kyren Williams",RB,10.0,-5.5%,8,85%,11.8,14.1,14.1,16.2,57.5
16,MIA,"De'Von Achane",RB,9.0,10.4%,12,90%,12.7,14.8,15.3,18.5,55.3
17,BAL,"Lamar Jackson",QB,10.0,12.6%,7,45%,18,20.3,21.4,23.1,52
18,HOU,"Nico Collins",WR,10.0,-0.7%,6,92%,9.3,12.5,12.7,14.1,51.8
19,ATL,"Drake London",WR,10.0,2.6%,5,76%,10.4,12,11.7,15.2,51.4
20,BUF,"Josh Allen",QB,10.0,0.1%,7,22%,18.4,21.4,21.1,23.2,51
21,KC,"Rashee Rice",WR,9.0,-0.9%,10,88%,11.4,12.7,12.7,17.1,51
22,LVR,"Ashton Jeanty",RB,10.0,4%,8,63%,11.2,12.6,13.3,16,50.8
23,LAR,"Davante Adams",WR,10.0,-2.4%,8,82%,10.5,12.3,11.4,15.4,50.3
24,PHI,"Jalen Hurts",QB,9.0,6.2%,9,43%,19.9,21.7,22.9,26.8,49.4
