Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,SF,"Christian McCaffrey",RB,2.0,-4.1%,14,52%,10.5,16.1,12.3,14.4,100
2,SEA,"Jaxon Smith-Njigba",WR,2.0,2.6%,8,79%,8.8,12.9,10.4,14.4,94.3
3,CIN,"Ja'Marr Chase",WR,2.0,-5.9%,10,48%,9.5,13.2,10.5,13.9,93.2
4,DET,"Amon-Ra St. Brown",WR,2.0,-1.8%,8,35%,8.6,12.9,10.1,13.9,89
5,DET,"Jahmyr Gibbs",RB,2.0,-8.9%,8,70%,9.9,16,11.5,14.4,88.9
6,ATL,"Bijan Robinson",RB,2.0,-4.1%,5,39%,9.5,14.7,10.9,14.6,88
7,LAR,"Puka Nacua",WR,2.0,0.7%,8,83%,8.3,12.6,9.9,13.4,87.5
8,MIA,"De'Von Achane",RB,2.0,21.4%,12,90%,9.8,14.2,11.5,13.2,84
9,BUF,"James Cook",RB,2.0,-4.1%,7,73%,8.4,12.1,10.6,12.5,73.7
10,DAL,"CeeDee Lamb",WR,2.0,-4.7%,10,66%,6.9,12.6,9.2,11.7,71.8
11,IND,"Jonathan Taylor",RB,2.0,-4.6%,11,83%,8.8,14.9,9.9,12.7,70.3
12,ARI,"Trey McBride",TE,2.0,22.7%,8,53%,8.5,12.4,10,12,69.3
13,PHI,"A.J. Brown",WR,2.0,0.5%,9,76%,8,9.5,8.7,11.7,68.4
14,HOU,"Nico Collins",WR,2.0,-4.3%,6,92%,7.1,11.5,8.2,11.2,62.1
15,DAL,"George Pickens",WR,2.0,-4.7%,10,47%,6.9,11.6,8.2,10.2,57.6
16,NO,"Chris Olave",WR,2.0,0.2%,11,76%,6.5,11,8.3,9.8,54.3
17,ATL,"Drake London",WR,2.0,3.6%,5,76%,6.2,11,8,10.4,53.1
18,GB,"Josh Jacobs",RB,2.0,2.3%,5,69%,7.4,11.4,9,11,50.8
19,CIN,"Tee Higgins",WR,2.0,-5.9%,10,88%,6.4,9,8,9.4,49.7
20,BAL,"Derrick Henry",RB,2.0,-16.2%,7,37%,7.5,12.4,8.6,11.1,49.4
21,PHI,"Saquon Barkley",RB,2.0,14.6%,9,43%,7,10.6,9.1,10.9,49
22,JAC,"Travis Etienne",RB,2.0,-8.1%,8,69%,7.9,10.7,8.8,10.8,48.1
23,SF,"George Kittle",TE,2.0,8.4%,14,53%,6.6,10.1,7.8,10.7,48
24,DET,"Jameson Williams",WR,2.0,-1.8%,8,68%,6.6,11,7.8,9.6,47.4
25,BUF,"Josh Allen",QB,2.0,-15.8%,7,22%,11.6,18.8,13.3,15.7,46.8
26,DAL,"Javonte Williams",RB,2.0,2.6%,10,73%,6.5,10.7,9,10.5,46.6
27,ARI,"Michael Wilson",WR,2.0,2.9%,8,58%,6.5,9.9,7.6,9.1,46.4
28,TB,"Bucky Irving",RB,2.0,1.1%,9,83%,7.3,9.2,8.7,9.8,43.2
