Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,SEA,"Jaxon Smith-Njigba",WR,4.0,4.2%,8,79%,13.6,15.7,16,22.1,100
2,SF,"Christian McCaffrey",RB,4.0,6.1%,14,52%,15.1,18.1,17.8,21.7,96.3
3,CIN,"Ja'Marr Chase",WR,4.0,0.4%,10,48%,13.9,14.2,15.4,20.8,92
4,DET,"Jahmyr Gibbs",RB,4.0,-15.3%,8,70%,13.9,18.4,16.9,20.8,87.9
5,LAR,"Puka Nacua",WR,4.0,8.4%,8,83%,12.9,14.6,15.3,18.7,84.6
6,DET,"Amon-Ra St. Brown",WR,4.0,-1%,8,35%,12.4,13.4,14.6,20.1,83.5
7,MIA,"De'Von Achane",RB,4.0,10.9%,12,90%,13.4,17.5,16.1,19.8,80.4
8,ATL,"Bijan Robinson",RB,4.0,-2.7%,5,39%,13.3,13.7,15.3,20.5,75.6
9,DAL,"George Pickens",WR,4.0,-11%,10,47%,11.3,13.4,13.5,18.6,72.3
10,DAL,"CeeDee Lamb",WR,4.0,-11%,10,66%,10.4,13.8,13.9,17.7,71.1
11,KC,"Rashee Rice",WR,4.0,-10.8%,10,88%,11.7,12,13.3,18.1,69.8
12,LAR,"Davante Adams",WR,4.0,8.4%,8,82%,12,12,13,18.1,69.1
13,BUF,"James Cook",RB,4.0,-10.2%,7,73%,11.9,13.5,15,17.7,63.9
14,HOU,"Nico Collins",WR,4.0,-4%,6,92%,10.9,11.5,12.7,17.3,63.8
15,IND,"Jonathan Taylor",RB,4.0,-4.8%,11,83%,12.7,15.4,14.4,17.3,62
16,PHI,"A.J. Brown",WR,4.0,4.1%,9,76%,11.2,10.4,12.2,16.5,59.4
17,ARI,"Trey McBride",TE,4.0,11.8%,8,53%,11.1,13.1,13,15.6,55.4
18,GB,"Josh Jacobs",RB,4.0,0.4%,5,69%,11.7,13.6,13.8,16.8,54.1
19,PHI,"Saquon Barkley",RB,4.0,13.4%,9,43%,10.9,11.5,14.1,16.9,53.8
20,DAL,"Javonte Williams",RB,4.0,-2.1%,10,73%,10.5,12.6,13.7,16.6,51.7
21,TB,"Bucky Irving",RB,4.0,1.3%,9,83%,11.6,10.2,13.8,15.6,50.4
22,MIA,"Jaylen Waddle",WR,4.0,2.6%,12,93%,9.4,9.4,11.8,15,48.5
23,SF,"George Kittle",TE,4.0,4.1%,14,53%,9.7,10.9,11.4,15.6,48.1
24,CAR,"Tetairoa McMillan",WR,4.0,-8.3%,14,45%,9.9,9.6,11.2,14.7,46.2
25,BAL,"Derrick Henry",RB,4.0,0.8%,7,37%,9.8,13.8,13.4,15.8,44.3
26,NO,"Chris Olave",WR,4.0,-7.1%,11,76%,9,9.9,11.5,13.6,42.6
27,LVR,"Brock Bowers",TE,4.0,-23.2%,8,75%,9.8,9.6,10.9,13.6,42.3
28,BUF,"Josh Allen",QB,4.0,-6.9%,7,22%,17.5,19.9,20.1,22.5,40.1
29,DET,"Jameson Williams",WR,4.0,-1%,8,68%,7.8,10.1,11.2,13.8,39.9
30,CIN,"Chase Brown",RB,4.0,6.2%,10,81%,10.1,12.5,12.6,15.1,39
31,NE,"Drake Maye",QB,4.0,-0.7%,14,65%,16.6,17,19.3,23.5,36.2
32,JAC,"Travis Etienne",RB,4.0,-0.2%,8,69%,9.2,10.8,12.2,14.8,35.6
33,NE,"TreVeyon Henderson",RB,4.0,11.4%,14,37%,9.5,9.9,11.4,15.4,34.1
34,GB,"Christian Watson",WR,4.0,5.6%,5,52%,8.6,8,10,13.6,33.6
35,BAL,"Zay Flowers",WR,4.0,-0.2%,7,85%,8.1,8.8,10.8,12.4,33.4
36,ARI,"Michael Wilson",WR,4.0,-5%,8,58%,6.1,9.3,10.5,13.7,31.9
37,DAL,"Dak Prescott",QB,4.0,-6%,10,27%,17,17.6,19.1,22.5,31
38,CLE,"Quinshon Judkins",RB,4.0,3.6%,9,45%,9.6,9.6,11.6,14.5,30.9
39,PHI,"DeVonta Smith",WR,4.0,4.1%,9,94%,8.9,9.8,10.1,12.5,30.7
40,WAS,"Terry McLaurin",WR,4.0,9%,12,93%,8.4,8.5,10,12.7,30.7
41,CIN,"Joe Burrow",QB,4.0,3.5%,10,26%,16,16.5,19.3,22.2,29.5
42,LAR,"Kyren Williams",RB,4.0,-10.1%,8,85%,9.3,10.7,11.2,14.2,28.9
43,NYG,"Wan'Dale Robinson",WR,4.0,-3.3%,14,45%,8.5,10,9.8,12.4,28.6
44,LAR,"Matthew Stafford",QB,4.0,3.6%,8,37%,15.7,15.6,19.1,22.5,28
45,HOU,"Woody Marks",RB,4.0,10.5%,6,0%,9.5,8.9,10.6,15.4,28
46,SF,"Jauan Jennings",WR,4.0,14.4%,14,85%,8.4,7.6,9.8,12.3,27.9
