Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,ATL,"Bijan Robinson",RB,13.0,-5.2%,5,39%,14,16.7,16.7,19,100
2,IND,"Jonathan Taylor",RB,12.0,0.1%,11,86%,14.9,16.6,16.7,21.5,93.3
3,LAR,"Puka Nacua",WR,12.0,12.9%,8,74%,13.7,16.5,15.7,19.2,89.3
4,SF,"Christian McCaffrey",RB,12.0,-1.4%,14,94%,11.8,18.4,16.9,19.8,82.5
5,DET,"Jahmyr Gibbs",RB,12.0,7.5%,8,68%,13.6,15.9,16.2,20.1,82.2
6,MIN,"Justin Jefferson",WR,12.0,5.5%,6,57%,12.5,13.5,14.5,17.7,76.2
7,BUF,"James Cook",RB,12.0,-1.3%,7,73%,13.6,14.3,15.8,18.6,76
8,GB,"Josh Jacobs",RB,13.0,15.8%,5,85%,12.4,14.7,14.4,16.8,72.6
9,DAL,"CeeDee Lamb",WR,11.0,-7.4%,10,56%,11.6,13.1,14,16.5,71.6
10,MIA,"De'Von Achane",RB,12.0,-4.3%,12,93%,12.4,15.1,15.7,18.1,71.3
11,HOU,"Nico Collins",WR,12.0,0.8%,6,82%,11.6,13,14.1,16.9,68.4
12,SEA,"Jaxon Smith-Njigba",WR,12.0,6.1%,8,49%,12.5,14.6,13.4,17.7,67.7
13,DET,"Amon-Ra St. Brown",WR,12.0,4.2%,8,31%,12.4,15,13.3,17.8,67.5
14,PHI,"Saquon Barkley",RB,12.0,9.8%,9,52%,11.3,13.7,15.5,17.8,66.6
15,CIN,"Ja'Marr Chase",WR,12.0,12.9%,10,49%,11.8,13.2,13.3,16.2,62.4
16,CHI,"Rome Odunze",WR,13.0,2.9%,5,52%,10.7,11.6,12.3,14.4,59.8
17,ATL,"Drake London",WR,13.0,9.6%,5,85%,10.5,11.7,12.3,14.1,57.5
18,BUF,"Josh Allen",QB,12.0,0%,7,26%,20.1,22.5,22.8,24.6,54.8
19,LAR,"Kyren Williams",RB,12.0,-5%,8,70%,11.9,13.5,14.2,16.3,54.8
20,BAL,"Derrick Henry",RB,12.0,0.8%,7,41%,11.7,14,13.9,17,54
21,LVR,"Ashton Jeanty",RB,12.0,16.1%,8,81%,11.6,12.8,13.5,17.6,54
22,DAL,"George Pickens",WR,12.0,-7.4%,10,52%,10.7,11.6,12.7,15.2,53.5
23,CLE,"Quinshon Judkins",RB,12.0,12.6%,9,47%,10.6,13.5,13.2,18.1,51.2
24,ARI,"Trey McBride",TE,12.0,16.6%,8,66%,10.5,9.7,12.3,14,49.6
25,DAL,"Javonte Williams",RB,12.0,0.1%,10,50%,10.1,13.5,13.4,16.5,47
26,KC,"Rashee Rice",WR,11.0,-0.3%,10,80%,10.3,9.9,11.4,14.5,46.8
27,NYJ,"Breece Hall",RB,12.0,-1.3%,9,79%,11.4,12.8,12.9,16.5,46.7
28,BAL,"Lamar Jackson",QB,11.0,18.3%,7,31%,18.6,20.4,20.7,24.4,45.5
29,TB,"Bucky Irving",RB,11.0,-8.8%,9,79%,10.5,13.3,13,15,45.4
30,IND,"Tyler Warren",TE,12.0,-7.4%,11,26%,9.4,10,11.6,13.1,42.6
31,LAR,"Davante Adams",WR,12.0,12.9%,8,64%,10.1,11.9,11.5,14.6,42.4
32,NYJ,"Garrett Wilson",WR,12.0,9.5%,9,41%,10.2,12.5,11.6,14.4,42.3
33,LVR,"Brock Bowers",TE,11.0,-13.3%,8,53%,9.1,8.8,11.2,12.5,41.7
34,MIA,"Jaylen Waddle",WR,12.0,9.2%,12,66%,9.5,12.4,11.6,14.3,41.5
