Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,ATL,"Bijan Robinson",RB,12.0,-7.4%,5,39%,14,17.5,16.7,19,100
2,MIN,"Justin Jefferson",WR,12.0,7.5%,6,57%,12.6,13.2,14.6,17.8,92
3,IND,"Jonathan Taylor",RB,11.0,-4.3%,11,86%,14.9,16.8,16.7,21.5,90.8
4,LAR,"Puka Nacua",WR,10.0,4.8%,8,74%,13,14.6,14.9,18.2,84.9
5,SF,"Christian McCaffrey",RB,11.0,-6.3%,14,94%,11.8,18.2,16.9,19.8,81.2
6,DET,"Jahmyr Gibbs",RB,11.0,0.1%,8,68%,13.5,15.4,16.1,20,80.1
7,CIN,"Ja'Marr Chase",WR,11.0,6.5%,10,49%,12.7,13.7,14.3,19.6,79.3
8,SEA,"Jaxon Smith-Njigba",WR,11.0,-5.7%,8,49%,13,15.1,14,18.8,75.8
9,BUF,"James Cook",RB,11.0,-2.7%,7,73%,13.6,14.6,15.8,18.6,74.6
10,DAL,"CeeDee Lamb",WR,11.0,-7.6%,10,56%,12.3,13.6,14.8,17.5,74.4
11,HOU,"Nico Collins",WR,12.0,-3.2%,6,82%,10.9,12.6,13.5,15.7,72.8
12,GB,"Josh Jacobs",RB,12.0,7.4%,5,85%,12.3,15.4,14.3,16.7,71
13,MIA,"De'Von Achane",RB,11.0,-5.1%,12,93%,12.4,16.6,15.7,18.1,69.9
14,DET,"Amon-Ra St. Brown",WR,11.0,-0.6%,8,31%,12.4,14.8,13.3,17.8,66.9
15,ATL,"Drake London",WR,12.0,3.3%,5,85%,10.4,12.9,12.2,15,61.3
16,BAL,"Derrick Henry",RB,11.0,-0.2%,7,41%,11.8,14.3,14,17.6,56.5
17,CHI,"Rome Odunze",WR,12.0,-2.1%,5,52%,10.1,11.4,12,13.8,54.6
18,PHI,"Saquon Barkley",RB,11.0,5%,9,52%,10.6,14.1,14.5,17,54.5
19,LAR,"Kyren Williams",RB,11.0,-9.1%,8,70%,11.8,14.1,14.1,16.2,52.8
20,KC,"Rashee Rice",WR,11.0,-4%,10,80%,11.2,11.4,12.4,15.7,52.4
21,BAL,"Lamar Jackson",QB,11.0,8.4%,7,31%,19.4,21.3,22.6,25.3,50.5
