Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,ATL,"Bijan Robinson",RB,12.0,-7.4%,5,39%,15.5,19.5,18.5,21.1,100
2,MIN,"Justin Jefferson",WR,12.0,7.5%,6,57%,15.2,15.9,17.7,21.6,95.1
3,LAR,"Puka Nacua",WR,10.0,4.8%,8,74%,15.7,17.9,18.1,22.1,89.7
4,IND,"Jonathan Taylor",RB,11.0,-4.3%,11,86%,15.8,18.1,17.8,23,84.9
5,SF,"Christian McCaffrey",RB,11.0,-6.3%,14,94%,13.2,21,18.9,22.1,83.8
6,CIN,"Ja'Marr Chase",WR,11.0,6.5%,10,49%,15.5,16.6,17.4,23.8,83.3
7,SEA,"Jaxon Smith-Njigba",WR,11.0,-5.7%,8,49%,15.9,18.2,17.1,22.9,80.2
8,MIA,"De'Von Achane",RB,11.0,-5.1%,12,93%,14.5,18.9,18.3,21,79.4
9,DET,"Jahmyr Gibbs",RB,11.0,0.1%,8,68%,14.8,17.1,17.6,21.8,79
10,DAL,"CeeDee Lamb",WR,11.0,-7.6%,10,56%,14.9,16.7,18,21.2,78.8
11,HOU,"Nico Collins",WR,12.0,-3.2%,6,82%,13.2,15,16.3,18.9,75.4
12,DET,"Amon-Ra St. Brown",WR,11.0,-0.6%,8,31%,15.3,17.9,16.4,22,72.3
13,BUF,"James Cook",RB,11.0,-2.7%,7,73%,14.6,15.7,17,20.1,70.1
14,GB,"Josh Jacobs",RB,12.0,7.4%,5,85%,13.2,16.6,15.4,18,67.8
15,ATL,"Drake London",WR,12.0,3.3%,5,85%,12.8,15.7,15,18.5,64.9
16,KC,"Rashee Rice",WR,11.0,-4%,10,80%,13.9,14,15.4,19.6,57.6
17,CHI,"Rome Odunze",WR,12.0,-2.1%,5,52%,12.1,13.5,14.4,16.6,54.5
18,ARI,"Trey McBride",TE,11.0,5.8%,8,66%,13.2,12.6,15.5,17.7,51.9
19,LVR,"Ashton Jeanty",RB,11.0,3.7%,8,81%,12.6,14.5,14.7,19.1,51.6
20,PHI,"Saquon Barkley",RB,11.0,5%,9,52%,11.4,15.3,15.6,18.3,51
21,IND,"Tyler Warren",TE,11.0,-6.7%,11,26%,12.3,12.1,15.2,17.6,49.8
22,BAL,"Lamar Jackson",QB,11.0,8.4%,7,31%,19.4,21.3,22.6,25.3,48.6
23,LAR,"Kyren Williams",RB,11.0,-9.1%,8,70%,12.6,15.1,15,17.3,47.7
24,BAL,"Derrick Henry",RB,11.0,-0.2%,7,41%,12.3,14.8,14.6,18.4,47.5
25,NYJ,"Breece Hall",RB,11.0,-6.8%,9,79%,12.7,13.8,14.4,18.4,47.4
26,DAL,"Javonte Williams",RB,11.0,-1.6%,10,50%,11.1,14.4,14.8,18.2,46.7
27,BUF,"Josh Allen",QB,11.0,-2%,7,26%,19.8,22.8,22.5,24.1,45.3
28,TB,"Bucky Irving",RB,10.0,-10.5%,9,79%,11.5,14.4,14.2,16.3,44.1
