Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,LAR,"Puka Nacua",WR,13.0,2.4%,8,74%,13.7,16,15.7,19.2,100
2,ATL,"Bijan Robinson",RB,13.0,-1.1%,5,39%,14.3,17.1,17,20.1,97.9
3,IND,"Jonathan Taylor",RB,13.0,4.9%,11,86%,14.1,16.3,15.8,21.2,93.6
4,DET,"Jahmyr Gibbs",RB,13.0,18.3%,8,68%,13.7,16.5,16.3,20.2,92.4
5,SF,"Christian McCaffrey",RB,13.0,-2.3%,14,94%,11.8,18.2,16.9,19.8,90
6,PHI,"Saquon Barkley",RB,13.0,18.1%,9,52%,12.3,15.3,16.8,19.3,90
7,MIN,"Justin Jefferson",WR,13.0,-2.8%,6,57%,12.5,12.7,14.5,17.7,83.8
8,BUF,"James Cook",RB,13.0,6.1%,7,73%,13.5,14.3,15.7,18.5,82.9
9,MIA,"De'Von Achane",RB,13.0,2.2%,12,93%,12.4,15.5,15.7,18.1,77.9
10,HOU,"Nico Collins",WR,13.0,-1.5%,6,82%,11.5,12.6,14,16.8,75.6
11,DET,"Amon-Ra St. Brown",WR,13.0,4.9%,8,31%,12.3,14.8,13.2,17.7,75.4
12,BUF,"Josh Allen",QB,13.0,5.5%,7,26%,20.1,22.5,22.8,24.6,73.8
13,BAL,"Derrick Henry",RB,13.0,1.9%,7,41%,12.3,15.3,14.7,17.1,68.5
14,DAL,"CeeDee Lamb",WR,12.0,-11.5%,10,56%,10.8,12.6,13,15.3,68.2
15,SEA,"Jaxon Smith-Njigba",WR,13.0,12.5%,8,49%,11.6,13.6,12.5,16.3,64.4
16,GB,"Josh Jacobs",RB,13.0,19.6%,5,85%,12.2,14.8,14.2,16.6,62.9
17,LAC,"Omarion Hampton",RB,13.0,15.3%,12,91%,11.1,14,14.2,17,61.7
18,LAR,"Kyren Williams",RB,13.0,2.5%,8,70%,11.8,12.9,14.1,16.2,59.3
19,LVR,"Ashton Jeanty",RB,13.0,21.6%,8,81%,11.4,13.1,13.3,17.3,57
20,CHI,"Rome Odunze",WR,13.0,2.3%,5,52%,11,11.7,12.2,14.8,55.7
21,WAS,"Jayden Daniels",QB,13.0,3.2%,12,43%,19,20.4,21.8,23.5,55.4
22,PHI,"A.J. Brown",WR,13.0,-3.4%,9,75%,10.9,10.8,12.4,14.4,55.1
23,NYJ,"Breece Hall",RB,13.0,12.9%,9,79%,11.5,12.2,13.1,16.8,53.7
24,ATL,"Drake London",WR,13.0,6.7%,5,85%,10.4,12.1,12.2,14,51.9
25,CLE,"Quinshon Judkins",RB,13.0,9.6%,9,47%,8.9,13.6,13.1,17.6,50.4
26,LVR,"Brock Bowers",TE,13.0,5.4%,8,53%,9.7,9.9,12,13.2,49.6
27,ARI,"Trey McBride",TE,13.0,27.7%,8,66%,9.9,10.9,11.7,13.3,49.4
28,LAR,"Davante Adams",WR,13.0,2.4%,8,64%,10.1,11.9,11.5,14.6,48.6
29,NYJ,"Garrett Wilson",WR,13.0,14.5%,9,41%,10.2,11.6,11.6,14.4,48.4
30,KC,"Rashee Rice",WR,11.0,-0.2%,10,80%,9.5,9.6,10.6,13.8,48.3
31,PHI,"Jalen Hurts",QB,13.0,-0.7%,9,59%,19.1,20.7,20.8,23.5,47.5
32,CAR,"Tetairoa McMillan",WR,13.0,7.6%,14,48%,9.3,10.9,11.5,14.8,47.5
33,PIT,"D.K. Metcalf",WR,13.0,3.5%,5,68%,9.5,10.8,10.8,15.7,45.1
34,MIA,"Jaylen Waddle",WR,13.0,5.8%,12,66%,9.4,10.7,11.5,14.1,44.5
35,TB,"Bucky Irving",RB,13.0,-2.1%,9,79%,10.5,13.4,13,14.6,43.5
36,TB,"Emeka Egbuka",WR,13.0,3%,9,26%,9.8,11.5,11.1,13.8,42.4
37,CIN,"Ja'Marr Chase",WR,13.0,4.1%,10,49%,9.3,13.8,11.3,14.1,42.3
38,NO,"Alvin Kamara",RB,13.0,3.1%,11,94%,9.6,10.9,13,14.7,41.9
39,TB,"Mike Evans",WR,12.0,3%,9,68%,9.5,10.3,10.6,13.3,41.3
40,BAL,"Zay Flowers",WR,13.0,6.6%,7,62%,9.9,10.6,11.2,13.2,41.1
41,WAS,"Deebo Samuel",WR,13.0,-6.4%,12,94%,9.9,9.9,11.2,12.8,39.6
42,DAL,"George Pickens",WR,13.0,-11.5%,10,52%,9.2,11.6,10.9,13.7,39.2
43,ARI,"Marvin Harrison Jr.",WR,13.0,13.8%,8,83%,9.2,10.3,10.6,14.3,39.1
44,DEN,"Courtland Sutton",WR,13.0,2.6%,12,67%,9.7,10.7,10.8,13.4,38.9
45,KC,"Xavier Worthy",WR,13.0,-0.2%,10,54%,8.5,9.5,11.2,13.7,38.6
46,LAC,"Quentin Johnston",WR,13.0,3.1%,12,70%,9.5,10.9,10.5,13.9,37.7
47,SEA,"Kenneth Walker III",RB,13.0,-2.4%,8,63%,10.1,10.7,11.9,15.5,37.5
48,SF,"George Kittle",TE,12.0,13.8%,14,89%,7.8,10.1,10,12,37.4
49,JAC,"Brian Thomas Jr.",WR,13.0,0.3%,8,42%,8.8,10.8,10.6,13.8,36.4
50,DET,"Jameson Williams",WR,13.0,4.9%,8,48%,8.6,9.3,10.5,14,36.2
51,GB,"Tucker Kraft",TE,13.0,9.5%,5,38%,8.1,9,9.8,12.7,35.7
52,IND,"Tyler Warren",TE,13.0,1.1%,11,26%,8,9.8,9.6,13,35.5
53,NO,"Chris Olave",WR,13.0,8.6%,11,75%,8.2,9.2,10.7,13.7,35.2
54,PHI,"DeVonta Smith",WR,13.0,-3.4%,9,72%,9.2,10,10.5,13.1,34.8
55,BAL,"Lamar Jackson",QB,12.0,12.3%,7,31%,17.2,19.6,19.1,22.5,34.4
56,JAC,"Travis Etienne",RB,13.0,2.1%,8,71%,8.7,10.9,12.1,14.5,33.8
57,MIN,"Jordan Addison",WR,13.0,-2.8%,6,85%,9.3,8.8,10.4,13.2,33.7
58,SF,"Ricky Pearsall",WR,12.0,13.7%,14,54%,8.1,9.1,9.9,12.9,33.1
59,LVR,"Jakobi Meyers",WR,13.0,-1%,8,68%,8.7,9.5,10.8,12.3,33
60,DEN,"J.K. Dobbins",RB,13.0,13.4%,12,57%,9.2,10.1,11.5,15,32.1
61,DAL,"Javonte Williams",RB,13.0,9.1%,10,50%,8.6,12.3,11,16.2,31.3
62,NYG,"Cameron Skattebo",RB,13.0,5.9%,14,41%,8,11.7,12,14.3,30.9
63,LAC,"Ladd McConkey",WR,13.0,3.1%,12,82%,9,9.8,10.2,13,30.8
64,TB,"Chris Godwin",WR,13.0,3%,9,58%,8.7,9.2,10.2,13.1,30.6
65,DET,"David Montgomery",RB,13.0,18.3%,8,95%,9.2,9.8,11.4,14.3,30.5
66,LAC,"Keenan Allen",WR,13.0,3.1%,12,62%,7.9,9.8,10.2,13.3,30.4
67,WAS,"Terry McLaurin",WR,12.0,-6.4%,12,59%,8.4,9.6,9.7,12.1,29.5
68,IND,"Michael Pittman Jr.",WR,13.0,1.7%,11,93%,8.9,10,9.8,12.9,28.9
69,DAL,"Jake Ferguson",TE,13.0,-6.9%,10,70%,7.3,8.3,9.4,11.1,28.9
70,MIN,"Jordan Mason",RB,13.0,11.2%,6,43%,8.9,9.8,10.5,15.3,28.4
71,CIN,"Chase Brown",RB,13.0,7%,10,72%,9.2,11.5,11.4,13,28
72,PIT,"Jaylen Warren",RB,13.0,4.4%,5,77%,8.7,10.3,11.4,13.1,28
73,DET,"Sam LaPorta",TE,13.0,22.2%,8,84%,8,8.8,8.8,11.5,28
74,NE,"Hunter Henry",TE,13.0,-15.7%,14,55%,7.6,7.5,9,11.2,27.7
75,LAC,"Justin Herbert",QB,13.0,8%,12,32%,17.2,18.2,19.8,22.2,27.6
76,BUF,"Keon Coleman",WR,13.0,-1.6%,7,55%,7.8,8.3,9.6,13,26.7
77,NE,"Stefon Diggs",WR,13.0,7.1%,14,42%,8.5,8.1,9.6,12.4,26.5
78,CAR,"Chuba Hubbard",RB,12.0,-3%,14,69%,8,10.6,10.9,12.5,26.3
79,CLE,"Jerry Jeudy",WR,13.0,-0.9%,9,50%,8.5,8.9,9.6,12.1,25.8
80,NO,"Juwan Johnson",TE,13.0,9.2%,11,36%,7.8,7.2,8.6,10.8,25.6
81,CHI,"D.J. Moore",WR,13.0,2.3%,5,50%,8.4,9.2,9.6,12,25.4
82,SEA,"Zach Charbonnet",RB,13.0,-2.4%,8,45%,9.3,8.4,10,14,25.2
83,TEN,"Tony Pollard",RB,13.0,2.6%,10,60%,8.2,9,10.7,12.6,24
84,CIN,"Tee Higgins",WR,13.0,4.1%,10,90%,7.4,9.5,9.5,11.9,23.2
85,CHI,"D'Andre Swift",RB,13.0,7.5%,5,82%,7.5,11.1,10.6,12.4,22.7
86,GB,"Romeo Doubs",WR,13.0,2.8%,5,54%,8.1,7.4,9.3,11.3,21.9
87,JAC,"Travis Hunter",WR,13.0,0.3%,8,37%,7,4.6,9.5,11.8,21.7
88,JAC,"Brenton Strange",TE,13.0,19.4%,8,22%,7.4,6.8,8.1,10.5,21.6
89,BUF,"Khalil Shakir",WR,13.0,-1.6%,7,53%,7.7,8,9.1,11.8,21.2
90,WAS,"Zach Ertz",TE,13.0,13%,12,52%,6.3,7.1,8.2,10.6,21.1
91,PHI,"Dallas Goedert",TE,13.0,2.4%,9,85%,7,7.3,8.1,10.5,21
92,MIN,"T.J. Hockenson",TE,13.0,7.7%,6,61%,7,6.9,7.9,10.6,20.6
93,SF,"Jauan Jennings",WR,12.0,13.7%,14,71%,7.2,7.4,8,12,20.3
94,ATL,"Kyle Pitts",TE,13.0,17.1%,5,62%,6.6,7.2,7.8,11.1,20.2
95,ATL,"Darnell Mooney",WR,13.0,6.7%,5,84%,8,7.8,9.1,11.2,20.1
96,KC,"Patrick Mahomes",QB,13.0,-0.9%,10,19%,16,19,18.6,22.3,19.7
97,NYG,"Wan'Dale Robinson",WR,13.0,-9.2%,14,50%,7.6,8.8,9.3,11,19.6
98,KC,"Travis Kelce",TE,13.0,12.6%,10,52%,6.2,7.4,8,10.4,19.2
99,HOU,"Jo'Quavious Marks",RB,13.0,12.4%,6,0%,7.3,9.2,9.1,13.5,19
100,BUF,"Dalton Kincaid",TE,13.0,11.2%,7,85%,6.2,7.1,8.1,10.1,19
101,BAL,"Mark Andrews",TE,13.0,21.4%,7,45%,7.1,7,7.9,9.7,18.9
102,WAS,"Jacory Croskey-Merritt",RB,13.0,25.5%,12,51%,6.8,6.9,9.3,13.5,18.8
103,DEN,"RJ Harvey",RB,13.0,13.4%,12,68%,6.9,8.1,9.1,13.6,18.7
104,GB,"Matthew Golden",WR,13.0,2.8%,5,70%,7.6,7.2,8.7,11.3,18.7
105,JAC,"Bhayshul Tuten",RB,13.0,2.1%,8,37%,6.8,6.3,9.6,12.3,18.4
106,NE,"Drake Maye",QB,13.0,6.3%,14,47%,16.6,18.2,18.6,21.4,18.3
107,DET,"Brian Branch",DB,13.0,24.3%,8,0%,6,6.2,8,10,18.1
108,LVR,"Tre Tucker",WR,13.0,-1%,8,0%,7.1,6.9,8.6,11.4,17.2
109,TB,"Baker Mayfield",QB,13.0,4%,9,25%,16.4,18.6,18.6,20.6,16.8
110,NE,"Rhamondre Stevenson",RB,13.0,11.6%,14,71%,7.3,7.2,8.4,13.4,16.7
111,HOU,"Nick Chubb",RB,13.0,12.4%,6,31%,7.7,4.4,9,11.7,15.8
112,NE,"TreVeyon Henderson",RB,13.0,11.6%,14,75%,6.6,8.2,8.7,12.7,15.7
113,TB,"Antoine Winfield Jr.",DB,13.0,10.5%,9,0%,5.6,5,7.5,10.1,15.5
114,CHI,"Caleb Williams",QB,13.0,9.7%,5,24%,15.1,18.2,18.9,20.2,15.2
115,DAL,"Dak Prescott",QB,13.0,-9.6%,10,31%,16.1,17.1,18.3,20.7,14.9
116,NYJ,"Justin Fields",QB,13.0,17.2%,9,55%,16.1,18.6,18.3,20.7,14.9
117,GB,"Jordan Love",QB,13.0,11.4%,5,31%,16.2,17,18.4,20.4,14.7
118,IND,"Josh Downs",WR,13.0,1.7%,11,71%,7.4,6.3,8.5,10.2,14.6
119,BAL,"Isaiah Likely",TE,13.0,21.4%,7,35%,5.8,5.8,7.2,9.9,14.2
120,ARI,"Budda Baker",DB,13.0,-5.4%,8,21%,5.8,5.9,7.6,9.5,14
121,CLE,"Harold Fannin Jr.",TE,13.0,13.2%,9,19%,6,6.2,7.5,9.3,13.9
122,CHI,"Jaquan Brisker",DB,13.0,48.1%,5,0%,5.2,4.8,7.4,10,13.7
123,NYG,"Darius Slayton",WR,13.0,-9.2%,14,51%,6.6,6.8,8,11.4,13.6
124,DEN,"Bo Nix",QB,13.0,-4%,12,25%,16.3,17.4,17.9,20.8,13.5
125,ARI,"Trey Benson",RB,13.0,1.6%,8,29%,7,8.2,8.9,10.9,13.5
126,KC,"Marquise Brown",WR,13.0,-0.2%,10,69%,6.6,5.6,8,11.2,12.9
127,MIA,"Darren Waller",TE,13.0,1.2%,12,66%,4.8,6.6,7.6,9.1,12.6
128,DET,"Aidan Hutchinson",DL,13.0,24.3%,8,20%,4.9,4.2,5.8,7.3,12.6
129,ARI,"Kyler Murray",QB,13.0,13%,8,25%,15.6,17.3,18.4,19.9,12.4
130,SEA,"Tory Horton",WR,13.0,12.5%,8,31%,6.3,6,7.5,12,12.4
131,MIN,"Aaron Jones",RB,11.0,11.2%,6,94%,6.2,6.7,7.9,9.7,12.3
132,TEN,"Elic Ayomanor",WR,13.0,1.5%,10,8%,6.2,7.2,7.8,11.7,12.3
133,DEN,"Troy Franklin",WR,13.0,2.6%,12,10%,6.5,6.9,8,11,12.2
134,SEA,"Cooper Kupp",WR,13.0,12.5%,8,63%,6.9,7.6,7.7,11.3,12.2
135,CHI,"Kevin Byard",DB,13.0,48.1%,5,0%,5.3,5.8,7.4,8.9,12
136,PHI,"Zack Baun",LB,13.0,5.5%,9,0%,6.6,7.1,8.3,10.6,11.7
137,HOU,"Will Anderson Jr.",DL,13.0,-20.6%,6,24%,4.6,4,5.7,7.2,11.7
138,BAL,"Kyle Hamilton",DB,13.0,98.4%,7,29%,5.6,5.8,7,9.1,11.2
139,DET,"Jared Goff",QB,13.0,11.9%,8,16%,16.3,17.3,17.9,20,11
140,NYG,"Paulson Adebo",DB,13.0,14%,14,0%,5.1,4.7,6.8,9.9,11
141,GB,"Micah Parsons",DL,13.0,3%,5,27%,4.8,5.5,5.6,7,10.8
142,BAL,"Roquan Smith",LB,12.0,98.4%,7,12%,6.6,6.3,7.9,9.5,10.7
143,KC,"Isiah Pacheco",RB,13.0,14.4%,10,93%,6,6.5,8.5,10.2,10.6
144,IND,"Daniel Jones",QB,13.0,-6.8%,11,30%,16.2,18.2,17.6,20.2,10.5
145,LAC,"Daiyan Henley",LB,13.0,2.6%,12,0%,6.6,6.4,8.2,10.3,10.5
146,LAC,"Derwin James",DB,13.0,2.6%,12,32%,5.2,5.1,6.8,9.5,10.3
147,IND,"Nick Cross",DB,13.0,-10.9%,11,0%,5.8,6.6,6.9,9,10.2
148,SF,"Fred Warner",LB,13.0,49.3%,14,0%,6.7,7.7,7.9,10.3,10
149,JAC,"Foyesade Oluokun",LB,13.0,-3.1%,8,0%,6.7,6.1,7.9,10.3,10
150,NYJ,"Mason Taylor",TE,13.0,5%,9,39%,5.6,5.3,6.2,10,9.6
151,DEN,"Marvin Mims Jr.",WR,13.0,2.6%,12,17%,6.8,5.5,8,9.6,9.5
152,DEN,"Talanoa Hufanga",DB,13.0,-1.9%,12,39%,5.2,6.5,6.5,9.8,9.4
153,PIT,"T.J. Watt",DL,13.0,69.1%,5,18%,4.2,5.5,5.5,6.8,9.3
154,CLE,"Myles Garrett",DL,13.0,44.7%,9,18%,4.4,4.4,5.4,7,9.2
155,CLE,"David Njoku",TE,13.0,13.2%,9,78%,5.6,6.7,6.7,8.6,9
156,TEN,"Calvin Ridley",WR,13.0,1.5%,10,39%,5.9,7.7,8,9.8,8.7
157,GB,"Edgerrin Cooper",LB,13.0,3%,5,0%,6.2,6.8,7.8,10.1,8.7
158,MIN,"Jonathan Greenard",DL,13.0,8.7%,6,0%,4,4.8,5.5,6.6,8.5
159,NYG,"Theo Johnson",TE,13.0,-6.2%,14,28%,4.9,5.8,6.8,9,8.4
160,LVR,"Maxx Crosby",DL,13.0,26.4%,8,0%,4.1,5.1,5.3,7.2,8.2
161,BUF,"Joshua Palmer",WR,13.0,-1.6%,7,52%,6.4,5.1,7.4,10.4,7.7
162,CAR,"Jalen Coker",WR,13.0,7.6%,14,8%,6.3,6.2,7.4,10.4,7.5
163,PHI,"Cooper DeJean",DB,13.0,5.5%,9,0%,5.2,4.6,6.2,9.9,7.5
164,HOU,"Christian Kirk",WR,13.0,-1.5%,6,88%,6.5,6.4,7.7,9.5,7.4
165,CLE,"Cedric Tillman",WR,13.0,-0.9%,9,39%,5.5,4.3,7.1,11.4,7.4
166,NYG,"Brian Burns",DL,13.0,14%,14,0%,4.2,4.1,5.3,6.4,7.3
167,NE,"Robert Spillane",LB,13.0,57.1%,14,0%,5.9,7,7.9,9.5,7
168,CIN,"Trey Hendrickson",DL,13.0,1.3%,10,13%,4.1,4.8,5.4,6.2,7
169,LAR,"Jared Verse",DL,13.0,-24.8%,8,0%,4.4,4.5,5.1,6.6,6.9
170,DAL,"Brandon Aubrey",K,13.0,27.3%,10,7%,8.5,6.2,9.9,10.5,6.8
171,DEN,"Evan Engram",TE,13.0,-5.2%,12,71%,5.5,5.4,6.2,8.8,6.6
172,TEN,"Jeffery Simmons",DL,13.0,47.3%,10,22%,4.1,2.8,5.3,6.4,6.5
173,IND,"DeForest Buckner",DL,13.0,-10.9%,11,8%,3.8,4.3,5.3,6.3,6.4
174,CLE,"Isaiah Bond",WR,13.0,-0.9%,9,6%,5,6,6.7,11.7,6.3
175,CLE,"Carson Schwesinger",LB,13.0,44.7%,9,38%,6.2,4.9,7.5,9.8,6.2
176,IND,"Zaire Franklin",LB,13.0,-10.9%,11,0%,6.1,8,7.8,9.4,6
177,CIN,"Logan Wilson",LB,13.0,1.3%,10,25%,6.2,6.9,7.6,9.5,6
178,KC,"Kareem Hunt",RB,13.0,14.4%,10,45%,6.1,6.1,7.5,9.4,6
179,DEN,"Brandon Jones",DB,13.0,-1.9%,12,19%,4.9,5.7,6.4,9,5.9
180,LAC,"Cameron Dicker",K,13.0,2.4%,12,7%,8.3,5.9,9.6,10.3,5.6
181,CHI,"Montez Sweat",DL,13.0,48.1%,5,16%,4.1,2.8,5.1,6.1,5.4
182,MIA,"Jordyn Brooks",LB,13.0,34.1%,12,28%,6.5,7.5,7.7,8.9,5.3
183,ATL,"Kaden Elliss",LB,13.0,20.5%,5,0%,6.3,7.2,7.6,9.4,5.3
184,BAL,"Rashod Bateman",WR,13.0,6.6%,7,38%,6.2,6.4,7.1,10.1,5.3
185,LAR,"Byron Young",DL,13.0,-24.8%,8,0%,3.9,4.5,4.8,6.5,5.3
186,GB,"Green Bay Packers",DEF,13.0,3%,5,0%,6.4,4.8,7.2,8.3,5
187,TB,"Rachaad White",RB,13.0,-2.1%,9,54%,5.7,6.3,7,10.2,5
