Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,ATL,"Bijan Robinson",RB,13.0,-5.2%,5,39%,15.5,18.5,18.5,21.1,100
2,LAR,"Puka Nacua",WR,12.0,12.9%,8,74%,16.6,20.3,19.1,23.3,96
3,IND,"Jonathan Taylor",RB,12.0,0.1%,11,86%,15.9,17.8,17.9,23.1,87.8
4,SF,"Christian McCaffrey",RB,12.0,-1.4%,14,94%,13.3,21.2,19,22.2,86.5
5,DET,"Jahmyr Gibbs",RB,12.0,7.5%,8,68%,15,17.7,17.8,22.1,81.9
6,MIA,"De'Von Achane",RB,12.0,-4.3%,12,93%,14.5,17.5,18.3,21,81.8
7,MIN,"Justin Jefferson",WR,12.0,5.5%,6,57%,15.1,16.2,17.5,21.4,79.1
8,DAL,"CeeDee Lamb",WR,11.0,-7.4%,10,56%,14.2,15.9,17.1,20.2,76.2
9,DET,"Amon-Ra St. Brown",WR,12.0,4.2%,8,31%,15.2,18.2,16.3,21.8,73.5
10,SEA,"Jaxon Smith-Njigba",WR,12.0,6.1%,8,49%,15.3,17.7,16.4,21.6,72.7
11,BUF,"James Cook",RB,12.0,-1.3%,7,73%,14.5,15.4,16.9,19.9,71
12,HOU,"Nico Collins",WR,12.0,0.8%,6,82%,13.9,15.4,17,20.4,70.8
13,GB,"Josh Jacobs",RB,13.0,15.8%,5,85%,13.3,15.8,15.5,18.1,69.7
14,CIN,"Ja'Marr Chase",WR,12.0,12.9%,10,49%,14.5,16,16.3,19.9,66.1
15,PHI,"Saquon Barkley",RB,12.0,9.8%,9,52%,12.1,14.8,16.6,19.1,63.1
16,ATL,"Drake London",WR,13.0,9.6%,5,85%,12.8,14.3,15,17.3,61.8
17,CHI,"Rome Odunze",WR,13.0,2.9%,5,52%,12.9,13.8,14.8,17.3,60.6
18,LVR,"Ashton Jeanty",RB,12.0,16.1%,8,81%,12.8,13.9,14.9,19.4,55.3
19,ARI,"Trey McBride",TE,12.0,16.6%,8,66%,13.3,12.6,15.7,17.9,54.7
20,DAL,"George Pickens",WR,12.0,-7.4%,10,52%,12.9,13.6,15.3,18.4,54.2
21,BUF,"Josh Allen",QB,12.0,0%,7,26%,20.1,22.5,22.8,24.6,53
22,KC,"Rashee Rice",WR,11.0,-0.3%,10,80%,12.8,12.2,14.2,18,51.7
23,LAR,"Kyren Williams",RB,12.0,-5%,8,70%,12.7,14.6,15.1,17.4,50.3
24,NYJ,"Breece Hall",RB,12.0,-1.3%,9,79%,12.6,14.4,14.3,18.3,48.8
25,NYJ,"Garrett Wilson",WR,12.0,9.5%,9,41%,12.7,15.2,14.4,17.9,47.3
26,TB,"Bucky Irving",RB,11.0,-8.8%,9,79%,11.6,14.9,14.3,16.4,46.9
27,DAL,"Javonte Williams",RB,12.0,0.1%,10,50%,11,14.9,14.7,18.1,46.8
28,BAL,"Derrick Henry",RB,12.0,0.8%,7,41%,12.1,14.4,14.4,17.6,46.2
29,CLE,"Quinshon Judkins",RB,12.0,12.6%,9,47%,11.1,14.5,13.9,19,45.8
30,BAL,"Lamar Jackson",QB,11.0,18.3%,7,31%,18.6,20.4,20.7,24.4,44.6
31,LAR,"Davante Adams",WR,12.0,12.9%,8,64%,12.3,14.2,14,17.8,44.1
32,IND,"Tyler Warren",TE,12.0,-7.4%,11,26%,11.6,12.3,14.3,16.2,44
33,LVR,"Brock Bowers",TE,11.0,-13.3%,8,53%,11.3,11.1,13.9,15.6,43.7
34,MIA,"Jaylen Waddle",WR,12.0,9.2%,12,66%,11.6,15.1,14.2,17.5,43.6
35,TB,"Emeka Egbuka",WR,12.0,5.2%,9,26%,12.1,14.9,13.7,18.1,42.4
36,LAC,"Keenan Allen",WR,12.0,2.1%,12,62%,12.1,12.8,13.8,17.5,42.3
37,CAR,"Tetairoa McMillan",WR,12.0,11.5%,14,48%,11.3,13.7,14,17.6,41.9
38,PHI,"A.J. Brown",WR,12.0,-0.7%,9,75%,12.5,12.4,14.2,16.5,41.6
39,WAS,"Deebo Samuel",WR,12.0,1.8%,12,94%,12,12.9,13.6,17.4,40
40,WAS,"Jayden Daniels",QB,12.0,4.7%,12,43%,19.1,19.8,21.9,23.7,38.1
41,KC,"Xavier Worthy",WR,12.0,-0.3%,10,54%,10.5,10.5,13.8,16.8,37.4
42,GB,"Tucker Kraft",TE,13.0,10.9%,5,38%,9.6,10,11.9,15.1,37.4
43,SEA,"Kenneth Walker III",RB,12.0,-7.5%,8,63%,11.2,11.6,13.2,17.2,36.4
44,BAL,"Zay Flowers",WR,12.0,7.4%,7,62%,12,12.2,13.6,16,36.3
45,JAC,"Brian Thomas Jr.",WR,12.0,1%,8,42%,11,12.4,13.2,17.2,36
46,DEN,"Courtland Sutton",WR,12.0,4.5%,12,67%,11.8,13.7,13.1,16.9,35.5
47,PHI,"Jalen Hurts",QB,12.0,1.6%,9,59%,19.2,19.9,20.9,24.5,35.1
48,TB,"Mike Evans",WR,11.0,5.2%,9,68%,11.4,12.7,12.7,15.9,35
49,ARI,"Marvin Harrison Jr.",WR,12.0,16.2%,8,83%,11.1,12.5,13.4,16.1,34.1
50,NO,"Chris Olave",WR,12.0,5.4%,11,75%,10.2,11.9,13.2,16.9,33.8
51,NE,"Stefon Diggs",WR,12.0,5.3%,14,42%,10.9,12.5,13.4,16.1,33.6
52,PHI,"DeVonta Smith",WR,12.0,-0.7%,9,72%,11.4,12,13,16.5,33.5
53,LAC,"Ladd McConkey",WR,12.0,2.1%,12,82%,11.5,11.4,12.8,16.3,32.2
54,JAC,"Travis Etienne",RB,12.0,1.1%,8,71%,9.8,12.4,13.1,16.5,31.6
55,SF,"George Kittle",TE,11.0,5.2%,14,89%,8.7,12,11.8,14.9,31
56,MIN,"Jordan Addison",WR,12.0,5.5%,6,85%,11.3,10.7,12.7,16.1,30.3
57,CHI,"D.J. Moore",WR,13.0,2.9%,5,50%,10.4,10.9,11.8,14.8,30.3
58,PIT,"D.K. Metcalf",WR,13.0,3%,5,68%,9.7,13.2,12.1,14.5,30.1
59,LVR,"Jakobi Meyers",WR,12.0,-4.2%,8,68%,10.8,10.9,13.3,15.2,30
60,NYG,"Cameron Skattebo",RB,12.0,0.4%,14,41%,8.8,12.8,13.2,15.7,29.4
61,DEN,"J.K. Dobbins",RB,12.0,10.2%,12,57%,10,11.1,12.5,16.3,29.4
62,PIT,"Jaylen Warren",RB,13.0,1.7%,5,77%,9.2,11.7,12.1,13.9,29.3
63,DAL,"Jake Ferguson",TE,12.0,-3.8%,10,70%,9.4,11.2,12.1,14.3,28.7
64,KC,"Patrick Mahomes",QB,12.0,-2.8%,10,19%,17.6,19.3,19.8,25.5,28.6
65,TB,"Chris Godwin",WR,12.0,5.2%,9,58%,10.5,9.6,12.6,15.9,28.5
66,DET,"David Montgomery",RB,12.0,7.5%,8,95%,10,10.9,12.4,15.5,28.3
67,DET,"Jameson Williams",WR,12.0,4.2%,8,48%,10.1,9.6,12.3,16.4,28.2
68,CIN,"Chase Brown",RB,12.0,7.9%,10,72%,10.3,11.3,12.7,14.5,28.1
69,IND,"Michael Pittman Jr.",WR,12.0,5.1%,11,93%,11.1,12.7,12.2,16.1,28.1
70,CHI,"Caleb Williams",QB,13.0,10.6%,5,24%,16.4,17.5,18.9,22.1,27.7
71,WAS,"Jacory Croskey-Merritt",RB,12.0,24.2%,12,51%,9.7,11.7,11.5,17,27.5
72,LAC,"Omarion Hampton",RB,8.0,16.5%,12,91%,8.4,9.6,10.2,13.3,27.5
73,WAS,"Terry McLaurin",WR,11.0,1.8%,12,59%,10.3,12,11.8,14.8,27.1
74,CIN,"Tee Higgins",WR,12.0,12.9%,10,90%,9.4,10.9,12.1,16.3,26.8
75,NO,"Alvin Kamara",RB,12.0,-2.6%,11,94%,9.9,11.8,11.6,16.1,26.6
76,LAC,"Justin Herbert",QB,12.0,-1.7%,12,32%,17.7,17.9,19.7,24.2,25.9
77,LAC,"Quentin Johnston",WR,12.0,2.1%,12,70%,10.2,12.6,12.1,15.4,25.2
78,GB,"Romeo Doubs",WR,13.0,0.4%,5,54%,9.8,8.6,11.3,13.8,25.1
79,TEN,"Tony Pollard",RB,12.0,-6.3%,10,60%,9.3,9.9,12.1,14.3,25
80,MIN,"Jordan Mason",RB,12.0,6%,6,43%,9.4,9.8,11,16.1,24.6
81,DET,"Sam LaPorta",TE,12.0,17.5%,8,84%,9.8,10.9,10.8,14.1,24.5
82,ATL,"Kyle Pitts",TE,13.0,19.1%,5,62%,8.2,8.9,9.8,13.9,23.9
83,BUF,"Dalton Kincaid",TE,12.0,8.2%,7,85%,9,9.6,10.6,14.5,23.7
84,SEA,"Zach Charbonnet",RB,12.0,-7.5%,8,45%,10.1,8.9,10.9,15.3,23.6
85,NYG,"Wan'Dale Robinson",WR,12.0,-8%,14,50%,10,11,12.2,14.4,23.4
86,CHI,"D'Andre Swift",RB,13.0,0.7%,5,82%,7.9,11.5,11.1,12.7,23.3
