Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,LAR,"Puka Nacua",WR,10.0,-2.4%,8,83%,17.2,19,19.8,24.2,100
2,SEA,"Jaxon Smith-Njigba",WR,10.0,1.7%,8,79%,16.6,20,19.5,24.4,98
3,DET,"Amon-Ra St. Brown",WR,10.0,9.2%,8,35%,16.5,18.4,17.7,24.4,88.9
4,CIN,"Ja'Marr Chase",WR,9.0,8.3%,10,48%,17.5,18.2,19.9,26.1,87.2
5,ATL,"Bijan Robinson",RB,10.0,-8.3%,5,39%,15.7,18.7,18.5,22.2,84.6
6,DET,"Jahmyr Gibbs",RB,10.0,-0.2%,8,70%,15.3,17.9,18.6,21.2,81.8
7,MIN,"Justin Jefferson",WR,10.0,11.5%,6,53%,15.2,16.2,17.7,21.6,79.7
8,IND,"Jonathan Taylor",RB,9.0,-5.5%,11,83%,17.1,20.3,19.4,23.3,76.1
9,SF,"Christian McCaffrey",RB,9.0,-0.7%,14,52%,18.1,21.5,19.3,22.6,75.6
10,DAL,"CeeDee Lamb",WR,9.0,-3.6%,10,66%,16.1,17.4,18.3,24.7,74.3
11,MIA,"De'Von Achane",RB,9.0,10.4%,12,90%,14.8,17,17.8,21.5,61
12,BUF,"James Cook",RB,10.0,1.4%,7,73%,12.7,15.3,16.1,18.5,58.4
13,GB,"Josh Jacobs",RB,10.0,4.7%,5,69%,13.3,15.5,15.5,19.1,57.8
14,PHI,"Saquon Barkley",RB,9.0,2.9%,9,43%,15,15.4,17.2,20.6,56.9
15,KC,"Rashee Rice",WR,9.0,-0.9%,10,88%,14.2,15.5,15.8,21.3,52.1
16,ATL,"Drake London",WR,10.0,2.6%,5,76%,12.7,14.6,14.3,18.6,51.1
17,HOU,"Nico Collins",WR,10.0,-0.7%,6,92%,11.2,14.9,15.4,17.1,50.3
18,ARI,"Trey McBride",TE,10.0,3.2%,8,53%,13.3,13.5,15.6,17.8,49.9
19,LAR,"Kyren Williams",RB,10.0,-5.5%,8,85%,12.6,15.2,15,17.3,49.6
20,BAL,"Derrick Henry",RB,10.0,3.7%,7,37%,12.2,13.9,14.7,18.1,49.5
21,LVR,"Ashton Jeanty",RB,10.0,4%,8,63%,12.3,13.8,14.7,17.6,48.6
22,LAR,"Davante Adams",WR,10.0,-2.4%,8,82%,12.7,14.6,13.8,18.6,48.6
23,BAL,"Lamar Jackson",QB,10.0,12.6%,7,45%,18,20.3,21.4,23.1,46.9
24,BUF,"Josh Allen",QB,10.0,0.1%,7,22%,18.4,21.4,21.1,23.2,46
25,PHI,"Jalen Hurts",QB,9.0,6.2%,9,43%,19.9,21.7,22.9,26.8,44.6
26,TB,"Bucky Irving",RB,9.0,-1.7%,9,83%,12.6,15.4,15.6,17.9,40.5
27,IND,"Tyler Warren",TE,9.0,-1.7%,11,60%,12.8,12.2,15.1,19.2,39.9
28,CHI,"Rome Odunze",WR,10.0,3.7%,5,79%,11.5,13.6,13.1,17.3,39.8
29,DAL,"Javonte Williams",RB,9.0,-4.4%,10,73%,13,15.1,14.8,18.2,38.3
30,CLE,"Quinshon Judkins",RB,9.0,13.9%,9,45%,12.6,12.7,15.2,17.8,38
31,LVR,"Brock Bowers",TE,10.0,-9.4%,8,75%,11.3,10.8,13.9,15.6,37.6
32,MIA,"Jaylen Waddle",WR,9.0,6.6%,12,93%,12.6,14.1,14.5,18,36
33,CIN,"Chase Brown",RB,9.0,12.2%,10,81%,12.7,11,14.6,17.5,35.2
34,TB,"Emeka Egbuka",WR,9.0,-4.4%,9,38%,12.3,14,14,18.5,34.9
35,PHI,"A.J. Brown",WR,9.0,8.1%,9,76%,12.1,14.9,13.7,18.5,33.9
36,CIN,"Tee Higgins",WR,9.0,8.3%,10,88%,10.9,11.3,14,18.9,33.8
37,GB,"Tucker Kraft",TE,10.0,-1.1%,5,49%,11.1,12.2,12.6,16.1,33.8
38,NYJ,"Breece Hall",RB,9.0,-3.8%,9,85%,12.4,14,14.4,17.7,33.1
39,CAR,"Tetairoa McMillan",WR,9.0,-1%,14,45%,12,13,14,17.5,32.3
40,JAC,"Brian Thomas Jr.",WR,10.0,-1.2%,8,46%,9.4,11.8,13,15.7,31.8
41,NO,"Chris Olave",WR,9.0,-7.4%,11,76%,11.5,14,13.9,17.4,31.7
42,NYJ,"Garrett Wilson",WR,9.0,0.2%,9,36%,11.4,13.9,13.7,18.2,31.3
43,BAL,"Zay Flowers",WR,10.0,2.7%,7,85%,10.6,13.3,12.5,15.6,31.2
44,DAL,"George Pickens",WR,9.0,-3.6%,10,47%,11.7,14.6,13.9,17.4,31
45,LAC,"Ladd McConkey",WR,9.0,4.6%,12,86%,12.1,12.8,13.4,17.7,30.5
