Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,LAR,"Puka Nacua",WR,13.0,2.4%,8,74%,16.6,19.7,19.1,23.3,100
2,ATL,"Bijan Robinson",RB,13.0,-1.1%,5,39%,15.7,18.9,18.7,22.1,91.3
3,SF,"Christian McCaffrey",RB,13.0,-2.3%,14,94%,13.2,20.9,18.9,22.1,88.2
4,DET,"Jahmyr Gibbs",RB,13.0,18.3%,8,68%,15,18.4,17.8,22.1,85.3
5,MIA,"De'Von Achane",RB,13.0,2.2%,12,93%,14.4,17.8,18.2,20.9,83.1
6,IND,"Jonathan Taylor",RB,13.0,4.9%,11,86%,15.1,17.5,17,22.8,82.6
7,MIN,"Justin Jefferson",WR,13.0,-2.8%,6,57%,15.1,15.2,17.5,21.4,81.3
8,PHI,"Saquon Barkley",RB,13.0,18.1%,9,52%,13.1,16.5,17.9,20.6,77.8
9,DET,"Amon-Ra St. Brown",WR,13.0,4.9%,8,31%,15.2,17.9,16.3,21.8,76.6
10,HOU,"Nico Collins",WR,13.0,-1.5%,6,82%,13.9,15.1,16.9,20.3,73.3
11,BUF,"James Cook",RB,13.0,6.1%,7,73%,14.5,15.5,16.9,19.9,73.1
12,DAL,"CeeDee Lamb",WR,12.0,-11.5%,10,56%,13.2,15.4,15.9,18.8,66.9
13,BUF,"Josh Allen",QB,13.0,5.5%,7,26%,20.1,22.5,22.8,24.6,65.3
14,SEA,"Jaxon Smith-Njigba",WR,13.0,12.5%,8,49%,14.3,16.5,15.4,20,64.5
15,GB,"Josh Jacobs",RB,13.0,19.6%,5,85%,13.2,15.9,15.4,18,56.2
16,LAC,"Omarion Hampton",RB,13.0,15.3%,12,91%,12,15.2,15.4,18.5,55.2
17,BAL,"Derrick Henry",RB,13.0,1.9%,7,41%,12.9,15.8,15.3,17.7,54.4
18,LVR,"Ashton Jeanty",RB,13.0,21.6%,8,81%,12.6,14,14.7,19.1,54.3
19,CHI,"Rome Odunze",WR,13.0,2.3%,5,52%,13.2,13.8,14.7,17.8,53
20,NYJ,"Breece Hall",RB,13.0,12.9%,9,79%,12.8,13.7,14.5,18.6,52.3
21,PHI,"A.J. Brown",WR,13.0,-3.4%,9,75%,13.1,13,14.9,17.3,51.9
22,ATL,"Drake London",WR,13.0,6.7%,5,85%,12.7,14.9,14.9,17.1,50.7
23,ARI,"Trey McBride",TE,13.0,27.7%,8,66%,12.6,14,14.8,16.9,50.7
24,NYJ,"Garrett Wilson",WR,13.0,14.5%,9,41%,12.8,14.3,14.5,18,50.3
25,WAS,"Jayden Daniels",QB,13.0,3.2%,12,43%,19,20.4,21.8,23.5,49.9
26,LAR,"Kyren Williams",RB,13.0,2.5%,8,70%,12.6,13.9,15,17.3,49.9
27,KC,"Rashee Rice",WR,11.0,-0.2%,10,80%,11.8,11.9,13.1,17,49.1
28,LVR,"Brock Bowers",TE,13.0,5.4%,8,53%,12.1,12.5,14.9,16.4,48.7
29,NO,"Alvin Kamara",RB,13.0,3.1%,11,94%,11.1,12.6,15,17,47
30,LAR,"Davante Adams",WR,13.0,2.4%,8,64%,12.3,14.2,14,17.8,46.5
31,CAR,"Tetairoa McMillan",WR,13.0,7.6%,14,48%,11.3,13.2,14,18.1,45.4
32,MIA,"Jaylen Waddle",WR,13.0,5.8%,12,66%,11.5,13.1,14,17.2,44.1
33,PHI,"Jalen Hurts",QB,13.0,-0.7%,9,59%,19.1,20.7,20.8,23.5,43.2
34,TB,"Bucky Irving",RB,13.0,-2.1%,9,79%,11.7,14.9,14.4,16.1,42.1
35,CLE,"Quinshon Judkins",RB,13.0,9.6%,9,47%,9.4,14.6,13.8,18.5,41.8
36,CIN,"Ja'Marr Chase",WR,13.0,4.1%,10,49%,11.2,16.8,13.7,17.1,41.6
37,PIT,"D.K. Metcalf",WR,13.0,3.5%,5,68%,11.4,12.7,12.9,18.7,41.3
38,TB,"Emeka Egbuka",WR,13.0,3%,9,26%,12,13.6,13.6,16.9,40.2
39,SEA,"Kenneth Walker III",RB,13.0,-2.4%,8,63%,11.4,11.7,13.4,17.4,39.6
40,BAL,"Zay Flowers",WR,13.0,6.6%,7,62%,12,12.9,13.6,16,38.8
41,TB,"Mike Evans",WR,12.0,3%,9,68%,11.4,12.2,12.7,15.9,37.8
42,KC,"Xavier Worthy",WR,13.0,-0.2%,10,54%,10.3,11.4,13.6,16.6,37.2
43,WAS,"Deebo Samuel",WR,13.0,-6.4%,12,94%,12,11.9,13.6,15.5,37.2
44,DAL,"George Pickens",WR,13.0,-11.5%,10,52%,11,13.8,13.1,16.5,35.8
45,NO,"Chris Olave",WR,13.0,8.6%,11,75%,10.2,11.7,13.2,16.9,35.6
46,DEN,"Courtland Sutton",WR,13.0,2.6%,12,67%,11.7,12.8,13,16.1,34.9
47,PHI,"DeVonta Smith",WR,13.0,-3.4%,9,72%,11.4,12.2,13,16.3,34.8
48,ARI,"Marvin Harrison Jr.",WR,13.0,13.8%,8,83%,11,12.3,12.7,17.1,34.8
49,JAC,"Brian Thomas Jr.",WR,13.0,0.3%,8,42%,10.7,12.9,12.9,16.8,34.5
50,IND,"Tyler Warren",TE,13.0,1.1%,11,26%,9.9,12,11.9,16.1,33.6
51,LAC,"Quentin Johnston",WR,13.0,3.1%,12,70%,11.3,13,12.6,16.6,33.5
52,SF,"George Kittle",TE,12.0,13.8%,14,89%,9.4,12.2,12,14.4,33.2
53,LVR,"Jakobi Meyers",WR,13.0,-1%,8,68%,10.9,11.9,13.4,15.3,33
